['254', '333', '575', '385']
['473', '626', '537', '527']
['522', '149', '689', '539']
['304', '664', '192', '67']
['244', '585', '104', '187']
['672', '194', '410', '406']
['739', '530', '767', '73']
['743', '652', '346', '546']
['248', '534', '415', '109']
['647', '687', '284', '230']
['291', '520', '478', '249']
['370', '371', '792', '566']
['290', '288', '330', '83']
['119', '184', '56', '675']
['387', '665', '97', '86']
['565', '118', '208', '617']
['182', '125', '455', '749']
['331', '474', '393', '746']
['601', '321', '143', '554']
['334', '579', '357', '300']
['47', '454', '10', '66']
['308', '567', '65', '428']
['343', '760', '310', '752']
['683', '511', '681', '751']
['413', '467', '783', '423']
['515', '62', '207', '701']
['440', '759', '239', '633']
['765', '524', '709', '101']
['758', '659', '715', '361']
['623', '209', '134', '264']
['799', '306', '302', '705']
['253', '98', '588', '707']
['375', '596', '26', '129']
['152', '608', '52', '559']
['571', '374', '368', '163']
['597', '528', '347', '167']
['594', '738', '432', '136']
['650', '367', '605', '654']
['218', '622', '225', '648']
['13', '764', '669', '362']
['363', '430', '541', '265']
['278', '465', '285', '5']
['631', '607', '312', '556']
['77', '338', '670', '228']
['114', '666', '294', '70']
['686', '722', '787', '586']
['700', '494', '462', '632']
['53', '480', '271', '30']
['643', '786', '34', '562']
['50', '99', '240', '785']
['653', '391', '429', '252']
['20', '646', '793', '697']
['111', '720', '183', '6']
['340', '327', '775', '703']
['716', '470', '378', '491']
['339', '314', '426', '27']
['682', '625', '558', '645']
['518', '326', '602', '353']
['694', '345', '560', '499']
['29', '191', '7', '604']
['540', '427', '148', '356']
['112', '392', '128', '688']
['28', '9', '544', '156']
['492', '178', '582', '1']
['621', '325', '348', '275']
['31', '553', '197', '526']
['620', '479', '352', '106']
['59', '117', '335', '60']
['677', '195', '268', '592']
['449', '549', '498', '0']
['551', '386', '229', '341']
['360', '12', '639', '634']
['629', '503', '8', '640']
['282', '204', '305', '289']
['461', '782', '161', '611']
['45', '355', '788', '741']
['638', '242', '414', '450']
['590', '525', '176', '39']
['40', '441', '649', '259']
['214', '506', '120', '512']
['614', '113', '72', '419']
['456', '389', '217', '795']
['416', '269', '448', '69']
['303', '660', '628', '358']
['141', '644', '756', '171']
['235', '519', '179', '723']
['181', '89', '469', '736']
['174', '483', '656', '150']
['74', '116', '96', '24']
['151', '247', '307', '495']
['382', '396', '190', '502']
['319', '236', '486', '552']
['127', '610', '523', '676']
['514', '719', '158', '663']
['193', '535', '507', '381']
['216', '533', '476', '155']
['162', '22', '246', '618']
['466', '107', '729', '390']
['280', '581', '263', '147']
['328', '464', '270', '763']
['243', '706', '121', '796']
['287', '690', '655', '316']
['200', '376', '196', '135']
['542', '721', '140', '490']
['227', '710', '422', '667']
['144', '731', '377', '317']
['322', '460', '219', '232']
['578', '110', '603', '35']
['728', '261', '78', '211']
['730', '445', '297', '170']
['379', '619', '84', '173']
['691', '90', '402', '713']
['257', '740', '223', '685']
['313', '595', '258', '591']
['388', '76', '408', '487']
['589', '784', '301', '172']
['587', '71', '221', '627']
['139', '545', '798', '198']
['548', '185', '4', '146']
['576', '342', '733', '137']
['51', '776', '433', '92']
['309', '93', '2', '36']
['124', '44', '794', '276']
['735', '693', '153', '747']
['630', '658', '789', '138']
['11', '680', '295', '651']
['224', '130', '18', '475']
['420', '615', '773', '699']
['642', '38', '260', '513']
['662', '624', '613', '437']
['780', '679', '398', '350']
['364', '509', '734', '212']
['403', '438', '202', '48']
['329', '472', '395', '199']
['33', '674', '405', '46']
['712', '568', '344', '15']
['748', '91', '234', '279']
['497', '770', '332', '447']
['409', '635', '584', '215']
['463', '407', '797', '383']
['17', '95', '19', '57']
['266', '727', '753', '574']
['532', '293', '75', '717']
['250', '87', '459', '698']
['536', '458', '122', '337']
['517', '251', '222', '550']
['283', '164', '80', '241']
['3', '714', '510', '311']
['636', '593', '600', '769']
['132', '444', '772', '745']
['81', '732', '768', '349']
['32', '157', '49', '412']
['281', '82', '373', '203']
['115', '43', '742', '154']
['489', '55', '484', '790']
['14', '296', '779', '323']
['16', '188', '488', '277']
['678', '159', '299', '189']
['737', '213', '37', '750']
['436', '165', '424', '761']
['169', '220', '695', '131']
['394', '380', '529', '431']
['684', '754', '54', '372']
['724', '434', '564', '504']
['369', '226', '612', '561']
['401', '726', '501', '237']
['177', '485', '417', '274']
['262', '599', '496', '206']
['508', '68', '88', '771']
['411', '233', '439', '457']
['493', '791', '641', '704']
['711', '351', '616', '273']
['505', '563', '399', '41']
['397', '757', '186', '547']
['606', '324', '21', '320']
['573', '609', '777', '318']
['702', '42', '778', '79']
['85', '25', '108', '105']
['418', '255', '725', '365']
['384', '692', '298', '336']
['133', '272', '354', '425']
['359', '671', '766', '538']
['598', '64', '442', '245']
['404', '453', '286', '744']
['400', '166', '168', '238']
['452', '482', '481', '569']
['421', '201', '100', '160']
['366', '661', '718', '292']
['543', '500', '781', '231']
['210', '557', '103', '521']
['205', '175', '755', '708']
['126', '555', '516', '572']
['583', '577', '142', '446']
['477', '657', '471', '58']
['570', '696', '94', '451']
['145', '256', '637', '23']
['580', '102', '762', '468']
['443', '531', '180', '673']
['668', '435', '61', '123']
['267', '774', '63', '315']
