['473', '496', '73', '48', '595', '551', '597', '655', '39', '118']
['254', '326', '171', '49', '739', '561', '732', '445', '229', '315']
['522', '510', '611', '99', '592', '554', '231', '481', '472', '268']
['192', '682', '401', '59', '440', '544', '293', '313', '650', '770']
['61', '545', '104', '273', '746', '644', '348', '492', '431', '182']
['159', '777', '792', '154', '72', '450', '712', '519', '194', '500']
['767', '675', '653', '244', '230', '289', '483', '1', '108', '346']
['374', '91', '586', '747', '342', '451', '271', '133', '284', '308']
['598', '647', '332', '227', '41', '572', '509', '499', '439', '291']
['156', '325', '548', '13', '25', '17', '446', '462', '343', '53']
['370', '296', '750', '766', '625', '261', '466', '409', '137', '574']
['330', '324', '365', '444', '143', '164', '265', '319', '10', '95']
['56', '599', '142', '347', '292', '388', '42', '425', '796', '508']
['97', '620', '541', '384', '189', '588', '322', '587', '581', '703']
['208', '7', '24', '31', '436', '484', '15', '246', '690', '536']
['455', '785', '68', '674', '413', '395', '299', '148', '434', '366']
['393', '381', '489', '3', '52', '764', '610', '211', '721', '33']
['454', '357', '140', '715', '282', '86', '336', '396', '641', '360']
['356', '94', '724', '217', '676', '257', '699', '316', '580', '681']
['19', '392', '783', '141', '398', '22', '784', '576', '422', '506']
['307', '672', '286', '207', '214', '79', '362', '633', '134', '759']
['468', '638', '702', '745', '423', '722', '448', '205', '670', '11']
['528', '404', '568', '649', '34', '127', '791', '465', '172', '794']
['219', '775', '62', '213', '511', '309', '147', '717', '527', '250']
['153', '65', '614', '659', '35', '333', '220', '232', '350', '98']
['359', '419', '223', '331', '567', '557', '335', '402', '762', '487']
['734', '648', '497', '426', '432', '524', '728', '152', '0', '245']
['161', '241', '685', '224', '297', '458', '571', '691', '57', '630']
['617', '757', '594', '6', '477', '132', '748', '679', '114', '301']
['167', '753', '523', '646', '706', '69', '520', '708', '50', '225']
['686', '328', '262', '521', '433', '317', '585', '420', '157', '669']
['618', '516', '256', '26', '603', '178', '238', '459', '773', '530']
['2', '749', '786', '631', '181', '661', '202', '513', '391', '616']
['382', '344', '718', '621', '692', '269', '578', '532', '276', '666']
['88', '622', '564', '733', '349', '727', '584', '480', '776', '311']
['583', '435', '535', '51', '303', '738', '756', '531', '795', '312']
['542', '538', '55', '321', '169', '790', '742', '338', '394', '740']
['760', '789', '109', '64', '658', '158', '684', '80', '200', '761']
['115', '559', '779', '429', '12', '218', '46', '735', '491', '549']
['526', '5', '237', '485', '40', '457', '176', '543', '474', '797']
['101', '645', '163', '470', '226', '414', '339', '283', '183', '345']
['547', '514', '677', '351', '651', '63', '129', '665', '60', '399']
['191', '575', '185', '314', '320', '136', '264', '640', '751', '128']
['731', '84', '386', '389', '604', '352', '252', '212', '355', '628']
['555', '253', '710', '579', '771', '387', '447', '248', '353', '488']
['518', '305', '643', '430', '203', '184', '275', '781', '701', '654']
['77', '416', '503', '267', '602', '716', '606', '75', '323', '660']
['698', '678', '364', '9', '304', '113', '687', '693', '117', '593']
['186', '707', '100', '577', '210', '18', '270', '615', '233', '122']
['512', '20', '443', '461', '251', '624', '106', '427', '517', '363']
['70', '490', '107', '788', '449', '300', '741', '83', '258', '412']
['410', '38', '14', '367', '601', '327', '743', '763', '596', '664']
['556', '221', '180', '4', '209', '102', '23', '196', '135', '765']
['28', '456', '525', '165', '478', '197', '505', '138', '92', '582']
['358', '663', '215', '295', '453', '540', '787', '249', '76', '418']
['482', '723', '627', '369', '590', '155', '406', '700', '87', '632']
['125', '274', '799', '711', '379', '688', '206', '67', '573', '150']
['397', '298', '188', '464', '714', '408', '385', '495', '411', '553']
['190', '179', '652', '368', '469', '66', '537', '662', '89', '636']
['778', '340', '377', '634', '570', '337', '758', '424', '383', '656']
['247', '187', '30', '103', '623', '361', '78', '16', '96', '673']
['613', '476', '170', '720', '380', '82', '563', '726', '782', '81']
['266', '390', '560', '228', '372', '504', '769', '329', '354', '498']
['774', '71', '428', '729', '240', '415', '696', '27', '737', '149']
['32', '566', '375', '110', '626', '667', '277', '467', '452', '405']
['713', '657', '105', '591', '680', '126', '475', '407', '29', '116']
['695', '201', '460', '168', '124', '754', '565', '600', '144', '166']
['216', '533', '334', '539', '341', '609', '494', '146', '558', '279']
['145', '174', '552', '437', '417', '21', '373', '121', '123', '438']
['54', '130', '285', '90', '719', '112', '772', '278', '463', '736']
['493', '534', '162', '486', '260', '259', '752', '546', '310', '704']
['376', '263', '400', '421', '378', '198', '569', '689', '119', '234']
['629', '120', '302', '288', '58', '85', '501', '8', '744', '281']
['44', '637', '441', '605', '43', '705', '242', '272', '294', '47']
['255', '74', '193', '280', '111', '235', '243', '287', '151', '290']
['562', '175', '306', '139', '236', '36', '45', '619', '131', '318']
['683', '725', '222', '502', '93', '173', '239', '37', '793', '507']
['515', '607', '798', '479', '635', '608', '195', '642', '694', '639']
['671', '697', '668', '709', '780', '160', '471', '529', '371', '403']
['199', '589', '442', '204', '730', '550', '177', '768', '755', '612']
