['254', '622', '602', '676', '451', '433', '197', '538', '824', '570', '155', '717', '713', '646', '231', '563', '782', '276', '998', '473']
['411', '368', '65', '837', '823', '471', '829', '827', '145', '396', '794', '190', '41', '898', '810', '250', '791', '201', '109', '522']
['759', '568', '990', '836', '24', '832', '840', '552', '632', '150', '86', '510', '641', '346', '247', '704', '756', '158', '897', '716']
['932', '553', '493', '855', '672', '402', '421', '663', '820', '683', '353', '437', '795', '257', '996', '456', '101', '104', '888', '90']
['272', '816', '593', '439', '951', '280', '416', '949', '42', '267', '198', '159', '620', '856', '239', '846', '583', '595', '636', '969']
['584', '114', '598', '772', '379', '671', '446', '363', '847', '266', '712', '767', '273', '638', '423', '405', '251', '359', '960', '564']
['458', '644', '569', '504', '202', '692', '912', '40', '375', '822', '275', '878', '489', '319', '134', '694', '204', '903', '601', '311']
['44', '739', '147', '732', '755', '329', '774', '647', '193', '170', '803', '833', '263', '943', '730', '438', '580', '227', '118', '129']
['589', '122', '462', '974', '492', '223', '370', '432', '328', '662', '233', '766', '819', '709', '97', '887', '182', '771', '616', '718']
['625', '136', '698', '415', '986', '811', '7', '852', '442', '968', '483', '915', '734', '463', '555', '994', '240', '77', '357', '3']
['49', '356', '914', '340', '315', '330', '741', '817', '970', '559', '372', '269', '572', '431', '678', '871', '866', '294', '558', '985']
['110', '495', '56', '654', '64', '899', '939', '628', '576', '859', '705', '512', '144', '875', '508', '186', '474', '597', '472', '831']
['13', '891', '793', '618', '728', '304', '781', '630', '127', '321', '984', '784', '96', '218', '491', '736', '585', '684', '896', '768']
['838', '675', '701', '16', '740', '983', '68', '669', '503', '923', '434', '537', '750', '219', '323', '172', '769', '73', '961', '937']
['156', '686', '849', '237', '520', '876', '412', '528', '259', '23', '955', '428', '938', '173', '211', '195', '658', '74', '419', '208']
['309', '253', '642', '403', '946', '608', '797', '726', '560', '430', '354', '787', '12', '770', '292', '513', '874', '992', '455', '645']
['758', '530', '121', '395', '447', '125', '999', '670', '785', '993', '521', '776', '18', '543', '262', '544', '393', '113', '747', '786']
['116', '124', '79', '687', '738', '119', '177', '773', '130', '63', '710', '424', '268', '203', '389', '933', '228', '527', '358', '599']
['401', '664', '484', '565', '764', '30', '288', '351', '707', '394', '586', '957', '107', '952', '80', '988', '364', '656', '245', '523']
['440', '179', '779', '367', '166', '629', '33', '682', '296', '277', '635', '926', '261', '308', '343', '895', '265', '327', '75', '900']
['886', '550', '841', '212', '619', '655', '413', '917', '908', '1', '571', '612', '270', '681', '300', '102', '715', '477', '45', '106']
['883', '243', '349', '180', '283', '995', '861', '376', '139', '418', '260', '783', '851', '222', '775', '884', '85', '318', '737', '944']
['529', '689', '967', '574', '162', '409', '931', '22', '347', '164', '547', '867', '175', '780', '406', '21', '115', '154', '631', '232']
['746', '38', '350', '188', '425', '213', '11', '910', '789', '696', '637', '596', '542', '385', '708', '9', '893', '444', '972', '808']
['25', '719', '29', '146', '844', '524', '449', '475', '673', '873', '317', '301', '519', '28', '643', '869', '588', '373', '963', '722']
['337', '355', '913', '633', '161', '723', '334', '422', '478', '921', '987', '10', '882', '799', '842', '800', '901', '765', '982', '187']
['577', '454', '302', '141', '168', '404', '864', '306', '52', '688', '499', '314', '507', '224', '207', '502', '812', '200', '940', '123']
['870', '702', '753', '680', '151', '936', '457', '420', '362', '902', '980', '476', '802', '907', '72', '342', '341', '47', '659', '906']
['230', '653', '152', '667', '361', '752', '469', '872', '924', '194', '297', '256', '975', '196', '282', '235', '863', '494', '668', '868']
