['148', '175', '899', '881', '848', '707', '237', '751', '189', '477', '300', '756', '464', '437', '137', '465', '433', '280', '612', '974']
['763', '683', '8', '456', '993', '731', '698', '61', '81', '573', '979', '700', '256', '313', '593', '14', '22', '462', '905', '79']
['4', '99', '590', '346', '9', '361', '838', '892', '594', '63', '830', '587', '483', '144', '846', '969', '958', '752', '169', '360']
['252', '825', '901', '696', '342', '578', '451', '373', '723', '579', '379', '476', '499', '604', '164', '820', '720', '767', '860', '978']
['181', '424', '386', '798', '557', '428', '965', '537', '230', '314', '719', '757', '30', '32', '132', '276', '625', '469', '82', '319']
['488', '40', '679', '452', '669', '856', '715', '716', '287', '852', '214', '254', '709', '769', '57', '6', '73', '788', '786', '471']
['299', '754', '555', '5', '558', '526', '956', '323', '205', '917', '98', '91', '272', '90', '447', '508', '72', '109', '190', '97']
['285', '510', '294', '301', '388', '583', '530', '705', '43', '86', '418', '455', '586', '415', '608', '512', '187', '305', '876', '419']
['955', '542', '768', '84', '619', '69', '940', '242', '160', '283', '432', '403', '179', '56', '870', '664', '781', '273', '597', '44']
['298', '520', '491', '802', '387', '550', '389', '431', '289', '673', '496', '603', '795', '92', '726', '193', '931', '339', '615', '296']
['352', '871', '532', '632', '650', '545', '613', '77', '267', '764', '268', '503', '832', '874', '33', '291', '235', '727', '842', '733']
['944', '771', '912', '356', '150', '844', '910', '202', '253', '671', '340', '556', '631', '426', '324', '191', '65', '194', '372', '359']
['281', '973', '685', '538', '362', '47', '31', '961', '258', '641', '535', '460', '833', '227', '480', '13', '970', '306', '934', '215']
['507', '24', '74', '963', '52', '777', '198', '858', '924', '459', '610', '721', '211', '534', '116', '64', '466', '127', '317', '953']
['747', '675', '124', '818', '250', '995', '209', '384', '113', '511', '882', '636', '68', '39', '982', '895', '813', '606', '178', '574']
['637', '713', '851', '551', '136', '942', '112', '799', '420', '863', '549', '517', '163', '630', '854', '478', '921', '957', '651', '772']
['248', '985', '647', '866', '93', '925', '49', '779', '633', '805', '861', '166', '730', '536', '106', '792', '923', '392', '186', '58']
['422', '66', '916', '977', '648', '201', '318', '822', '567', '914', '222', '118', '883', '623', '693', '377', '665', '774', '404', '406']
['598', '847', '903', '748', '366', '383', '494', '954', '234', '736', '208', '378', '94', '343', '71', '96', '255', '981', '732', '42']
['482', '877', '1', '678', '337', '702', '989', '37', '46', '853', '513', '174', '962', '213', '446', '809', '684', '688', '266', '971']
