['463', '721', '218', '865', '114', '141', '18', '986', '441', '626', '109', '988', '330', '66', '998', '168', '61', '202', '376', '378']
['437', '268', '835', '788', '852', '975', '175', '763', '269', '680', '912', '259', '427', '150', '407', '693', '26', '493', '526', '787']
['888', '811', '357', '363', '696', '79', '283', '592', '108', '987', '595', '256', '303', '775', '127', '42', '548', '669', '180', '349']
['741', '712', '620', '663', '552', '342', '85', '272', '945', '980', '170', '629', '709', '271', '382', '665', '341', '396', '362', '48']
['361', '881', '936', '885', '367', '660', '879', '737', '661', '525', '397', '490', '91', '63', '149', '774', '403', '8', '862', '230']
['517', '644', '584', '379', '279', '901', '388', '250', '791', '106', '683', '701', '74', '676', '978', '893', '558', '911', '448', '920']
['858', '408', '50', '260', '610', '875', '617', '280', '808', '344', '423', '627', '308', '967', '747', '299', '351', '390', '15', '580']
['641', '116', '189', '370', '877', '7', '854', '67', '767', '609', '343', '768', '509', '582', '955', '681', '418', '666', '353', '255']
['201', '567', '597', '55', '745', '890', '838', '162', '466', '819', '734', '540', '461', '131', '23', '3', '990', '184', '449', '700']
['578', '585', '946', '935', '24', '829', '278', '128', '465', '816', '686', '107', '823', '25', '347', '326', '992', '177', '952', '796']
['703', '332', '977', '198', '705', '960', '809', '355', '869', '732', '206', '412', '892', '797', '386', '697', '523', '826', '99', '664']
['160', '581', '518', '321', '870', '443', '350', '999', '266', '694', '692', '219', '833', '366', '391', '962', '831', '276', '602', '446']
['426', '494', '601', '951', '532', '632', '561', '103', '923', '310', '435', '864', '724', '124', '822', '414', '722', '855', '368', '28']
['825', '125', '675', '316', '500', '111', '502', '439', '454', '294', '191', '216', '828', '270', '115', '719', '58', '334', '179', '562']
['217', '769', '273', '262', '345', '134', '32', '311', '991', '473', '973', '409', '958', '757', '933', '645', '850', '650', '254', '591']
['132', '619', '752', '922', '242', '239', '520', '498', '95', '739', '546', '104', '402', '882', '98', '467', '172', '196', '300', '636']
['503', '145', '547', '821', '147', '684', '135', '730', '649', '1', '2', '265', '110', '62', '522', '906', '323', '455', '932', '151']
['295', '707', '302', '356', '181', '352', '9', '689', '438', '720', '929', '52', '257', '468', '576', '507', '728', '499', '130', '648']
['848', '387', '234', '100', '139', '895', '621', '68', '178', '282', '702', '804', '214', '989', '521', '161', '307', '647', '212', '92']
['782', '655', '997', '950', '320', '205', '528', '577', '817', '731', '516', '301', '348', '377', '253', '324', '765', '84', '400', '56']
['49', '903', '223', '524', '953', '993', '842', '306', '760', '900', '786', '442', '415', '985', '736', '658', '824', '190', '146', '957']
