['94', '125']
['136', '14']
['21', '71']
['211', '70']
['225', '141']
['173', '234']
['182', '52']
['166', '7']
['51', '178']
['114', '54']
['219', '55']
['108', '5']
['183', '168']
['135', '140']
['107', '231']
['48', '194']
['130', '62']
['31', '86']
['47', '158']
['25', '83']
['145', '243']
['44', '230']
['4', '59']
['157', '116']
['10', '89']
['227', '235']
['109', '32']
['0', '228']
['233', '190']
['79', '146']
['74', '144']
['200', '122']
['164', '142']
['174', '162']
['149', '85']
['112', '134']
['177', '242']
['24', '132']
['143', '209']
['222', '20']
['66', '111']
['196', '23']
['67', '1']
['154', '58']
['138', '137']
['8', '156']
['50', '17']
['216', '110']
['81', '151']
['171', '96']
['191', '221']
['82', '215']
['237', '65']
['217', '27']
['165', '181']
['248', '13']
['35', '34']
['45', '238']
['184', '202']
['139', '113']
['131', '80']
['155', '195']
['179', '22']
['6', '239']
['69', '220']
['150', '75']
['246', '147']
['73', '176']
['224', '43']
['185', '53']
['103', '153']
['201', '207']
['84', '97']
['193', '161']
['133', '148']
['36', '9']
['189', '104']
['49', '163']
['223', '203']
['64', '229']
['72', '169']
['212', '232']
['167', '95']
['197', '46']
['63', '186']
['93', '56']
['245', '120']
['11', '126']
['170', '30']
['175', '2']
['57', '214']
['180', '99']
['208', '240']
['127', '119']
['42', '213']
['38', '101']
['247', '124']
['60', '78']
['100', '226']
['76', '12']
['105', '236']
['159', '92']
['33', '160']
['90', '121']
['102', '19']
['117', '129']
['128', '37']
['205', '77']
['115', '18']
['15', '68']
['206', '218']
['41', '88']
['3', '87']
['28', '40']
['26', '91']
['172', '198']
['241', '98']
['210', '123']
['204', '199']
['192', '16']
['39', '61']
['152', '187']
['118', '244']
['29', '249']
['106']
['188']
