['24', '134', '412', '406', '188']
['408', '302', '216', '205', '130']
['417', '313', '143', '243', '31']
['308', '352', '55', '404', '47']
['228', '110', '84', '126', '264']
['210', '314', '131', '494', '86']
['78', '186', '142', '169', '236']
['462', '176', '102', '434', '92']
['230', '218', '200', '242', '395']
['112', '321', '127', '292', '261']
['15', '293', '150', '336', '148']
['337', '320', '495', '366', '227']
['98', '472', '326', '398', '80']
['197', '167', '282', '120', '13']
['458', '116', '100', '392', '168']
['147', '460', '488', '51', '419']
['1', '111', '334', '162', '68']
['456', '161', '423', '39', '279']
['470', '298', '38', '315', '357']
['181', '465', '287', '40', '478']
['474', '351', '171', '201', '388']
['6', '382', '180', '339', '322']
['344', '358', '410', '349', '263']
['385', '158', '137', '57', '285']
['381', '396', '393', '226', '19']
['449', '278', '91', '252', '394']
['481', '160', '124', '212', '106']
['331', '165', '3', '157', '83']
['309', '12', '159', '343', '397']
['154', '21', '281', '274', '133']
['187', '122', '400', '451', '405']
['50', '362', '85', '384', '286']
['59', '199', '273', '138', '340']
['367', '353', '305', '37', '28']
['335', '253', '431', '444', '229']
['250', '361', '318', '306', '18']
['202', '374', '114', '103', '346']
['254', '203', '411', '402', '453']
['369', '409', '389', '416', '376']
['231', '77', '151', '224', '377']
['36', '499', '380', '437', '195']
['60', '403', '294', '267', '429']
['270', '190', '179', '58', '317']
['196', '299', '209', '415', '73']
['291', '53', '373', '235', '87']
['75', '289', '23', '370', '368']
['371', '95', '81', '214', '363']
['132', '435', '288', '401', '300']
['387', '223', '427', '467', '445']
['483', '468', '240', '319', '430']
['149', '184', '222', '295', '26']
['348', '208', '64', '145', '234']
['432', '311', '484', '90', '237']
['32', '14', '17', '447', '109']
['245', '238', '303', '259', '365']
['225', '378', '338', '354', '330']
['457', '82', '7', '312', '347']
['61', '192', '422', '189', '359']
['466', '48', '485', '178', '174']
['65', '153', '497', '94', '213']
['414', '341', '333', '420', '45']
['355', '448', '217', '477', '360']
['455', '239', '463', '356', '135']
['11', '268', '173', '63', '364']
['407', '255', '325', '251', '42']
['99', '166', '379', '113', '107']
['101', '2', '275', '183', '62']
['490', '266', '9', '177', '247']
['328', '144', '473', '249', '436']
['496', '46', '96', '74', '383']
['327', '25', '486', '459', '375']
['146', '413', '182', '272', '193']
['88', '41', '461', '76', '350']
['372', '136', '257', '121', '219']
['452', '29', '20', '5', '89']
['163', '277', '67', '198', '464']
['211', '72', '428', '43', '332']
['471', '246', '446', '175', '491']
['425', '301', '310', '232', '54']
['324', '71', '248', '128', '433']
['280', '66', '260', '79', '487']
['442', '489', '141', '97', '191']
['10', '49', '450', '323', '140']
['115', '221', '194', '44', '418']
['152', '16', '454', '424', '34']
['70', '329', '480', '441', '172']
['438', '493', '30', '297', '52']
['443', '386', '220', '276', '498']
['244', '390', '304', '156', '399']
['271', '342', '290', '391', '119']
['258', '69', '492', '421', '262']
['108', '139', '284', '215', '475']
['283', '307', '170', '479', '207']
['256', '27', '117', '345', '35']
['439', '440', '316', '469', '164']
['206', '265', '204', '33', '233']
['155', '123', '426', '241', '185']
['93', '118', '296', '4', '269']
['8', '0', '56', '129', '476']
['22', '125', '482', '105', '104']
