['331', '347', '335', '334', '204', '460', '330', '425', '337', '348', '349', '338', '336', '342', '332', '341', '351', '350', '305', '339', '300', '383']
['468', '214', '333', '346', '128', '467', '340', '387', '103', '344', '343', '345', '15', '152', '220', '246', '124', '38', '165', '181', '471', '363']
['445', '423', '180', '140', '406', '293', '133', '380', '77', '358', '144', '153', '1', '143', '179', '138', '171', '148', '63', '56', '10', '135']
['3', '137', '132', '151', '150', '30', '448', '359', '66', '147', '146', '201', '64', '450', '149', '139', '136', '262', '209', '415', '141', '0']
['145', '142', '134', '27', '108', '157', '95', '99', '267', '98', '4', '32', '365', '106', '67', '429', '109', '476', '102', '88', '426', '93']
['90', '80', '117', '96', '107', '89', '20', '101', '16', '92', '29', '97', '104', '100', '187', '91', '105', '123', '256', '37', '94', '251']
['249', '252', '253', '393', '225', '244', '259', '44', '260', '242', '154', '169', '302', '261', '382', '248', '163', '255', '174', '258', '25', '263']
['194', '13', '250', '54', '245', '243', '23', '247', '292', '254', '257', '8', '31', '9', '18', '36', '6', '299', '14', '7', '444', '235']
['402', '12', '11', '403', '443', '2', '21', '217', '17', '5', '399', '386', '318', '19', '294', '286', '296', '288', '306', '290', '461', '303']
['298', '307', '301', '287', '320', '297', '389', '417', '289', '291', '368', '441', '304', '295', '466', '385', '384', '421', '367', '43', '229', '129']
['233', '355', '240', '477', '241', '221', '234', '223', '222', '160', '224', '22', '231', '236', '313', '392', '226', '237', '228', '119', '46', '227']
['238', '411', '232', '166', '230', '239', '452', '395', '369', '314', '457', '459', '39', '198', '454', '458', '446', '447', '449', '40', '269', '453']
['271', '161', '176', '280', '440', '125', '456', '451', '442', '455', '436', '185', '422', '435', '420', '418', '432', '319', '272', '437', '183', '424']
['428', '439', '438', '431', '419', '81', '434', '433', '427', '86', '430', '34', '111', '122', '412', '75', '127', '131', '114', '115', '112', '275']
['118', '110', '113', '79', '172', '126', '130', '116', '193', '59', '121', '120', '357', '45', '391', '400', '195', '268', '310', '371', '366', '364']
['370', '315', '482', '356', '372', '354', '362', '408', '352', '373', '361', '483', '481', '360', '353', '61', '62', '57', '58', '47', '52', '60']
['65', '51', '53', '55', '49', '317', '50', '170', '48', '85', '322', '475', '87', '312', '207', '177', '82', '216', '73', '72', '273', '84']
['83', '410', '321', '70', '74', '71', '78', '69', '68', '76', '24', '316', '42', '33', '26', '197', '41', '159', '28', '35', '184', '200']
['167', '473', '168', '478', '405', '413', '285', '374', '381', '390', '398', '479', '308', '401', '407', '212', '188', '329', '218', '474', '283', '189']
['266', '196', '178', '186', '192', '191', '182', '156', '199', '190', '464', '469', '465', '462', '202', '472', '470', '480', '463', '175', '378', '173']
['162', '155', '158', '324', '164', '203', '323', '327', '311', '326', '328', '309', '325', '394', '379', '376', '375', '388', '377', '265', '416', '409']
['404', '397', '414', '396', '213', '270', '206', '277', '205', '284', '276', '264', '279', '282', '278', '219', '281', '274', '208', '210', '211', '215']
