['448', '243', '354', '170', '114', '495', '356', '50', '267', '90', '421', '2', '21', '342', '229', '496']
['1', '471', '429', '14', '144', '250', '338', '33', '40', '7', '48', '214', '81', '129', '100', '305']
['285', '362', '439', '18', '42', '283', '134', '152', '314', '110', '376', '172', '232', '235', '187', '72']
['273', '326', '255', '371', '333', '202', '244', '323', '320', '294', '265', '26', '175', '447', '390', '32']
['481', '295', '9', '216', '83', '171', '182', '186', '37', '293', '161', '12', '247', '474', '302', '151']
['460', '461', '188', '91', '383', '418', '113', '107', '86', '466', '125', '397', '115', '61', '392', '208']
['251', '396', '444', '112', '160', '45', '366', '123', '92', '431', '55', '51', '213', '417', '268', '101']
['420', '453', '400', '290', '470', '476', '179', '163', '109', '259', '111', '276', '164', '198', '299', '450']
['249', '128', '427', '67', '335', '281', '248', '252', '280', '133', '399', '199', '312', '384', '49', '60']
['203', '325', '143', '15', '487', '330', '27', '184', '459', '222', '169', '70', '468', '322', '156', '196']
['13', '409', '66', '437', '95', '440', '449', '433', '103', '489', '174', '246', '57', '316', '258', '264']
['348', '230', '228', '53', '194', '130', '488', '127', '395', '106', '98', '292', '58', '149', '227', '457']
['56', '277', '262', '131', '424', '467', '319', '148', '195', '311', '155', '451', '118', '473', '327', '369']
['271', '126', '207', '386', '240', '334', '309', '69', '490', '483', '352', '211', '231', '419', '82', '124']
['52', '341', '62', '412', '300', '176', '402', '97', '329', '5', '193', '154', '492', '30', '308', '64']
['35', '374', '408', '480', '96', '458', '241', '344', '491', '225', '303', '306', '375', '146', '136', '168']
['279', '278', '486', '102', '274', '54', '36', '414', '205', '284', '469', '73', '357', '263', '380', '435']
['379', '201', '140', '332', '434', '403', '191', '181', '472', '20', '210', '387', '368', '367', '242', '120']
['430', '345', '245', '71', '398', '269', '465', '141', '85', '304', '297', '355', '162', '8', '59', '108']
['215', '99', '385', '158', '233', '74', '296', '139', '291', '313', '494', '236', '301', '493', '438', '180']
['351', '482', '477', '405', '389', '257', '463', '361', '87', '63', '254', '239', '78', '4', '318', '346']
['11', '197', '256', '135', '89', '340', '349', '3', '183', '38', '68', '24', '116', '415', '119', '321']
['401', '454', '377', '452', '88', '204', '475', '289', '464', '94', '404', '44', '80', '23', '432', '425']
['373', '19', '422', '190', '150', '315', '462', '336', '407', '221', '253', '416', '65', '359', '382', '324']
['41', '442', '423', '173', '426', '22', '479', '413', '217', '137', '34', '117', '192', '270', '17', '343']
['317', '77', '189', '39', '165', '372', '347', '206', '224', '350', '177', '331', '142', '218', '28', '238']
['31', '275', '105', '76', '388', '307', '456', '394', '353', '406', '358', '223', '6', '226', '147', '260']
['446', '132', '378', '145', '428', '310', '209', '212', '441', '16', '261', '200', '365', '122', '159', '266']
['360', '339', '272', '178', '75', '370', '393', '443', '391', '410', '104', '29', '138', '286', '445', '436']
['185', '237', '157', '84', '298', '79', '220', '47', '328', '234', '167', '287', '381', '282', '288', '46']
['121', '364', '10', '93', '363', '219', '153', '484', '485', '455', '478', '43', '337', '25', '411', '166']
