['14', '250', '386', '433', '219']
['274', '71', '298', '261', '64']
['294', '384', '190', '387', '278']
['359', '413', '130', '403', '48']
['31', '485', '451', '221', '254']
['466', '167', '145', '371', '429']
['460', '63', '354', '157', '236']
['308', '377', '51', '226', '92']
['124', '450', '120', '342', '491']
['165', '77', '57', '363', '237']
['46', '330', '194', '441', '162']
['289', '78', '406', '431', '381']
['196', '436', '70', '284', '103']
['370', '13', '498', '253', '117']
['258', '224', '235', '315', '143']
['290', '376', '28', '147', '7']
['67', '146', '58', '81', '385']
['53', '204', '136', '416', '440']
['76', '61', '437', '379', '137']
['184', '59', '105', '390', '220']
['155', '179', '411', '470', '334']
['407', '461', '483', '380', '307']
['471', '36', '338', '389', '398']
['16', '287', '242', '11', '409']
['422', '37', '311', '318', '138']
['8', '151', '96', '395', '195']
['357', '249', '160', '255', '365']
['110', '291', '181', '149', '238']
['328', '19', '183', '62', '438']
['65', '474', '267', '208', '262']
['240', '185', '399', '337', '232']
['211', '144', '82', '79', '126']
['282', '203', '453', '18', '497']
['106', '173', '134', '56', '458']
['6', '317', '116', '323', '91']
['84', '273', '360', '392', '424']
['234', '419', '263', '423', '299']
['432', '410', '125', '396', '459']
['465', '156', '85', '486', '43']
['421', '152', '207', '243', '217']
['164', '463', '112', '205', '401']
['89', '277', '202', '415', '475']
['3', '66', '241', '210', '5']
['192', '372', '248', '492', '313']
['448', '225', '209', '75', '86']
['312', '335', '301', '15', '327']
['101', '201', '197', '218', '214']
['87', '215', '418', '353', '358']
['108', '22', '140', '349', '479']
['23', '297', '430', '494', '286']
['340', '456', '473', '177', '212']
['257', '446', '364', '228', '476']
['264', '80', '309', '171', '279']
['122', '292', '361', '187', '32']
['141', '94', '484', '452', '442']
['109', '382', '368', '489', '455']
['119', '420', '300', '493', '68']
['52', '93', '153', '55', '478']
['439', '306', '499', '42', '47']
['331', '404', '95', '83', '285']
['333', '33', '34', '30', '487']
['427', '375', '206', '41', '174']
['222', '378', '362', '198', '397']
['296', '310', '402', '269', '25']
['88', '428', '316', '107', '114']
['344', '280', '4', '10', '54']
['272', '97', '231', '74', '388']
['148', '288', '302', '260', '481']
['154', '50', '304', '444', '369']
['482', '276', '170', '12', '391']
['45', '447', '293', '367', '322']
['132', '266', '275', '129', '408']
['20', '133', '417', '325', '239']
['40', '314', '271', '414', '29']
['305', '223', '283', '350', '348']
['352', '443', '159', '90', '247']
['199', '244', '161', '193', '100']
['383', '449', '21', '341', '259']
['135', '445', '178', '168', '496']
['233', '270', '347', '336', '26']
['9', '216', '394', '356', '191']
['468', '374', '435', '324', '488']
['426', '186', '38', '412', '35']
['2', '462', '477', '343', '98']
['229', '400', '188', '329', '60']
['434', '303', '150', '246', '113']
['73', '351', '472', '176', '227']
['17', '373', '245', '0', '139']
['321', '158', '27', '128', '467']
['72', '115', '295', '163', '99']
['127', '180', '490', '69', '182']
['39', '346', '24', '44', '200']
['189', '457', '102', '425', '123']
['256', '172', '345', '469', '111']
['320', '213', '281', '230', '355']
['169', '49', '464', '1', '142']
['480', '252', '175', '405']
['131', '265', '121', '332']
['268', '104', '366', '454']
['495', '326', '339', '118']
['251', '393', '166', '319']
