['362', '395', '106', '205', '213', '25', '380', '230', '210', '121', '337', '360', '116', '214', '252', '137', '251', '159', '276', '274']
['361', '388', '36', '17', '315', '130', '314', '31', '284', '317', '173', '340', '291', '5', '308', '190', '178', '269', '334', '313']
['306', '290', '355', '66', '12', '7', '310', '185', '62', '346', '211', '255', '28', '365', '397', '120', '19', '122', '134', '99']
['270', '20', '237', '246', '333', '271', '356', '191', '322', '280', '376', '389', '311', '253', '283', '204', '309', '242', '399', '50']
['0', '188', '300', '87', '392', '59', '235', '265', '267', '196', '384', '14', '295', '111', '61', '180', '209', '366', '247', '222']
['141', '298', '241', '10', '258', '22', '174', '184', '162', '199', '145', '158', '339', '65', '156', '83', '312', '264', '96', '200']
['182', '101', '97', '217', '69', '114', '72', '262', '63', '195', '88', '202', '275', '278', '354', '390', '325', '2', '338', '234']
['52', '359', '148', '11', '386', '396', '326', '292', '169', '281', '128', '166', '256', '336', '363', '304', '51', '15', '163', '67']
['398', '126', '263', '393', '344', '279', '221', '198', '132', '370', '77', '335', '327', '372', '98', '103', '143', '268', '225', '139']
['394', '294', '324', '176', '303', '27', '33', '349', '18', '24', '321', '277', '39', '369', '377', '240', '347', '260', '136', '54']
['123', '219', '186', '302', '151', '296', '236', '228', '94', '133', '301', '368', '297', '226', '244', '74', '192', '149', '358', '150']
['285', '381', '187', '47', '53', '32', '93', '117', '319', '146', '26', '165', '85', '56', '34', '113', '243', '378', '293', '331']
['9', '175', '287', '144', '154', '286', '289', '273', '8', '105', '57', '155', '37', '341', '238', '135', '224', '208', '229', '91']
['387', '170', '385', '100', '179', '16', '207', '343', '23', '89', '147', '142', '171', '305', '249', '231', '299', '41', '64', '316']
['164', '197', '351', '13', '328', '232', '29', '272', '342', '21', '48', '379', '104', '3', '353', '60', '194', '78', '129', '364']
['233', '181', '92', '161', '266', '373', '140', '320', '79', '206', '70', '46', '30', '248', '75', '391', '383', '110', '345', '367']
['108', '189', '288', '4', '212', '35', '357', '152', '84', '318', '38', '138', '239', '350', '168', '119', '172', '131', '223', '259']
['257', '118', '125', '112', '160', '115', '43', '42', '374', '157', '86', '55', '80', '102', '44', '250', '6', '218', '352', '227']
['382', '330', '153', '68', '109', '215', '107', '261', '82', '49', '201', '58', '40', '167', '1', '73', '193', '90', '95', '371']
['282', '81', '348', '124', '203', '254', '323', '76', '177', '220', '216', '375', '329', '332', '45', '127', '183', '307', '245', '71']
