['43', '79', '240', '48', '471', '99', '243', '355', '180', '296', '160', '162', '87', '283', '132', '273', '403', '252', '299', '194']
['190', '317', '449', '294', '305', '171', '170', '407', '17', '145', '452', '101', '446', '321', '308', '290', '315', '394', '52', '107']
['397', '400', '88', '434', '354', '45', '14', '364', '396', '25', '205', '329', '22', '297', '437', '414', '395', '114', '318', '274']
['334', '211', '153', '142', '60', '96', '482', '250', '97', '76', '224', '128', '345', '440', '387', '2', '144', '84', '90', '357']
['12', '143', '333', '314', '55', '221', '406', '86', '18', '164', '383', '100', '200', '487', '168', '232', '415', '176', '122', '500']
['227', '280', '293', '67', '456', '247', '476', '480', '239', '110', '324', '432', '182', '461', '291', '228', '106', '251', '115', '69']
['158', '459', '26', '413', '310', '179', '119', '82', '337', '494', '479', '148', '248', '157', '36', '78', '249', '332', '175', '328']
['453', '124', '212', '109', '418', '256', '166', '89', '369', '214', '37', '442', '116', '325', '409', '372', '263', '344', '75', '302']
['223', '137', '28', '353', '399', '195', '167', '356', '155', '3', '141', '197', '42', '279', '426', '7', '448', '374', '460', '83']
['378', '81', '463', '346', '277', '362', '50', '98', '309', '365', '419', '159', '269', '34', '465', '259', '161', '338', '379', '94']
['288', '348', '327', '466', '481', '103', '105', '429', '20', '380', '8', '51', '181', '496', '352', '435', '127', '27', '484', '113']
['203', '373', '361', '147', '231', '268', '271', '140', '411', '385', '32', '61', '420', '339', '218', '93', '192', '136', '235', '163']
['488', '470', '19', '272', '262', '120', '151', '39', '77', '286', '54', '41', '382', '104', '260', '497', '287', '289', '336', '64']
['313', '410', '72', '108', '53', '495', '229', '389', '174', '340', '131', '388', '366', '73', '341', '276', '428', '193', '196', '169']
['57', '266', '359', '146', '421', '24', '245', '202', '118', '215', '91', '423', '371', '21', '70', '165', '16', '447', '351', '216']
['390', '331', '439', '246', '431', '454', '126', '474', '342', '219', '282', '23', '381', '204', '66', '416', '11', '111', '125', '455']
['244', '237', '191', '29', '172', '468', '491', '233', '281', '422', '462', '188', '408', '473', '306', '135', '391', '1', '311', '322']
['59', '292', '350', '405', '303', '95', '46', '368', '236', '450', '370', '74', '152', '234', '30', '295', '230', '320', '489', '377']
['65', '49', '154', '225', '469', '347', '255', '312', '477', '58', '133', '56', '187', '270', '173', '284', '102', '85', '417', '4']
['92', '438', '210', '402', '445', '80', '207', '5', '451', '264', '363', '220', '499', '258', '254', '130', '198', '6', '433', '498']
['483', '129', '189', '278', '360', '367', '139', '298', '112', '213', '330', '401', '443', '301', '349', '490', '123', '222', '35', '253']
['241', '425', '40', '150', '464', '265', '31', '304', '186', '326', '458', '404', '427', '201', '430', '199', '9', '393', '62', '467']
['47', '44', '226', '209', '149', '15', '335', '33', '319', '436', '392', '386', '285', '376', '121', '178', '156', '13', '457', '134']
['238', '68', '343', '183', '261', '375', '485', '208', '493', '117', '206', '323', '177', '275', '307', '184', '217', '492', '138', '358']
['472', '424', '444', '398', '486', '441', '384', '242', '300', '267', '71', '475', '316', '412', '478', '63', '38', '257', '185', '10']
