['142', '236', '249', '366', '49', '43', '141', '167', '7', '219', '120', '11', '14', '54', '368', '252']
['244', '107', '283', '96', '390', '309', '133', '106', '373', '256', '10', '24', '290', '356', '131', '196']
['319', '278', '340', '52', '306', '255', '348', '257', '267', '29', '71', '369', '315', '67', '294', '234']
['389', '158', '161', '166', '102', '104', '365', '383', '169', '44', '56', '146', '95', '16', '162', '113']
['197', '66', '222', '117', '337', '305', '4', '273', '331', '351', '227', '127', '342', '392', '9', '330']
['336', '271', '25', '251', '284', '397', '139', '176', '182', '293', '177', '164', '41', '311', '112', '225']
['377', '64', '327', '277', '105', '259', '87', '375', '123', '302', '207', '322', '343', '258', '310', '189']
['8', '275', '144', '243', '63', '215', '84', '329', '318', '115', '228', '179', '126', '264', '178', '387']
['154', '380', '276', '376', '19', '109', '22', '344', '238', '193', '272', '93', '242', '204', '147', '285']
['393', '145', '83', '55', '349', '201', '388', '173', '134', '111', '168', '323', '151', '216', '150', '31']
['185', '28', '47', '110', '155', '359', '316', '362', '347', '333', '35', '23', '18', '135', '288', '354']
['240', '386', '335', '129', '213', '299', '350', '98', '190', '116', '230', '223', '399', '70', '118', '241']
['97', '121', '374', '103', '3', '156', '367', '292', '381', '250', '37', '218', '27', '33', '48', '312']
['281', '82', '32', '108', '394', '370', '355', '237', '183', '88', '353', '160', '187', '99', '396', '61']
['224', '298', '262', '79', '75', '170', '378', '137', '361', '122', '194', '296', '301', '171', '138', '379']
['30', '398', '21', '125', '198', '280', '308', '45', '364', '34', '263', '199', '85', '338', '286', '186']
['346', '68', '86', '203', '247', '46', '184', '206', '65', '372', '128', '212', '39', '153', '89', '188']
['289', '205', '266', '233', '268', '57', '270', '180', '304', '334', '313', '42', '248', '163', '13', '321']
['214', '220', '239', '208', '314', '345', '229', '2', '12', '385', '124', '50', '77', '5', '191', '235']
['300', '400', '62', '246', '1', '217', '391', '226', '114', '320', '382', '157', '143', '357', '202', '172']
['148', '371', '181', '69', '332', '149', '80', '253', '26', '232', '324', '78', '81', '307', '210', '6']
['245', '295', '20', '221', '59', '51', '317', '92', '360', '339', '384', '325', '174', '297', '90', '274']
['91', '175', '279', '53', '74', '195', '291', '17', '159', '328', '140', '60', '38', '36', '254', '58']
['265', '130', '15', '231', '341', '326', '287', '352', '200', '72', '152', '136', '395', '303', '282', '192']
['119', '209', '100', '260', '363', '101', '165', '211', '94', '73', '261', '358', '132', '40', '269', '76']
