['251', '169', '394', '162']
['103', '112', '368', '351']
['73', '49', '309', '171']
['102', '367', '173', '38']
['56', '216', '203', '264']
['268', '202', '349', '382']
['140', '217', '181', '61']
['148', '281', '353', '363']
['248', '246', '76', '1']
['116', '303', '319', '47']
['118', '39', '254', '340']
['151', '29', '257', '230']
['377', '356', '143', '392']
['126', '44', '117', '184']
['199', '262', '320', '63']
['229', '286', '60', '297']
['226', '182', '332', '305']
['330', '358', '65', '244']
['188', '366', '172', '160']
['131', '270', '227', '386']
['354', '266', '200', '114']
['272', '128', '95', '343']
['208', '304', '43', '210']
['161', '311', '2', '109']
['98', '68', '174', '253']
['194', '275', '157', '287']
['134', '132', '137', '127']
['104', '7', '193', '391']
['50', '341', '364', '293']
['18', '344', '46', '350']
['101', '67', '15', '198']
['119', '234', '331', '108']
['190', '308', '91', '301']
['48', '51', '58', '223']
['186', '242', '42', '10']
['307', '8', '206', '9']
['25', '185', '4', '333']
['21', '24', '327', '374']
['237', '159', '348', '399']
['315', '13', '97', '149']
['211', '371', '342', '338']
['240', '259', '87', '383']
['346', '201', '205', '5']
['289', '27', '120', '355']
['388', '302', '336', '337']
['252', '14', '72', '35']
['209', '215', '372', '53']
['105', '235', '220', '96']
['224', '41', '294', '153']
['81', '71', '122', '204']
['326', '178', '11', '16']
['312', '221', '282', '256']
['313', '299', '195', '243']
['144', '328', '317', '191']
['99', '277', '78', '365']
['296', '17', '124', '85']
['142', '94', '197', '381']
['20', '233', '325', '170']
['384', '292', '212', '300']
['23', '54', '189', '152']
['347', '26', '146', '245']
['36', '273', '150', '387']
['214', '250', '357', '32']
['298', '389', '318', '30']
['324', '145', '155', '218']
['274', '130', '31', '249']
['378', '295', '207', '239']
['177', '34', '334', '135']
['6', '279', '37', '139']
['393', '129', '22', '361']
['323', '147', '93', '88']
['238', '267', '64', '57']
['225', '390', '258', '107']
['66', '261', '228', '398']
['154', '62', '232', '396']
['164', '166', '310', '92']
['59', '369', '0', '113']
['163', '180', '335', '90']
['269', '136', '373', '187']
['290', '278', '192', '321']
['156', '375', '231', '45']
['86', '306', '165', '138']
['241', '82', '55', '133']
['236', '106', '125', '83']
['80', '84', '352', '168']
['345', '263', '213', '19']
['183', '115', '79', '291']
['219', '52', '288', '380']
['385', '28', '316', '276']
['70', '222', '196', '33']
['89', '314', '395', '370']
['167', '376', '397', '176']
['322', '12', '69', '74']
['271', '379', '339', '360']
['255', '77', '40', '121']
['75', '283', '247', '3']
['284', '359', '329', '111']
['260', '265', '179', '158']
['110', '123', '141', '285']
['280', '175', '100', '362']
