['424', '226', '47', '307', '151', '416', '166', '90', '142', '468', '182', '372', '368', '95', '143', '353', '483', '175', '338', '44']
['86', '158', '498', '105', '259', '5', '138', '108', '39', '58', '117', '16', '189', '408', '407', '190', '66', '130', '279', '390']
['36', '114', '128', '366', '460', '46', '152', '234', '427', '160', '219', '170', '78', '48', '201', '246', '177', '207', '56', '490']
['174', '343', '346', '40', '126', '381', '12', '167', '237', '148', '200', '239', '254', '445', '337', '419', '265', '80', '278', '196']
['387', '232', '209', '220', '223', '247', '481', '52', '256', '75', '116', '312', '85', '9', '451', '262', '243', '479', '304', '26']
['18', '369', '186', '280', '425', '406', '79', '197', '121', '313', '146', '323', '395', '487', '276', '447', '379', '110', '183', '493']
['321', '418', '341', '74', '281', '274', '442', '84', '134', '31', '344', '162', '335', '273', '242', '275', '364', '99', '163', '68']
['319', '466', '137', '145', '258', '453', '261', '244', '89', '15', '67', '472', '318', '409', '394', '352', '462', '301', '217', '293']
['398', '61', '488', '88', '172', '153', '446', '106', '187', '330', '363', '348', '93', '450', '370', '270', '316', '474', '13', '203']
['291', '377', '238', '181', '179', '111', '216', '103', '118', '195', '325', '233', '386', '33', '486', '19', '414', '439', '180', '290']
['444', '2', '45', '267', '285', '38', '401', '336', '22', '284', '94', '257', '165', '268', '412', '129', '77', '229', '198', '489']
['449', '413', '458', '171', '476', '421', '71', '0', '72', '159', '53', '306', '113', '3', '298', '305', '340', '49', '30', '456']
['264', '454', '392', '287', '1', '87', '4', '440', '82', '347', '62', '263', '92', '218', '367', '459', '214', '224', '155', '402']
['403', '192', '215', '430', '310', '376', '494', '176', '54', '437', '185', '115', '365', '133', '431', '411', '432', '35', '230', '109']
['362', '473', '356', '227', '399', '297', '173', '436', '378', '125', '202', '191', '269', '463', '124', '303', '331', '371', '389', '188']
['231', '404', '252', '400', '475', '122', '29', '465', '27', '210', '495', '464', '477', '141', '434', '382', '311', '91', '120', '131']
['98', '37', '415', '241', '359', '295', '147', '471', '349', '374', '448', '245', '206', '136', '14', '24', '135', '385', '63', '282']
['470', '271', '358', '157', '332', '225', '168', '11', '441', '457', '100', '283', '251', '208', '433', '396', '491', '485', '272', '139']
['20', '320', '383', '350', '28', '326', '324', '388', '422', '32', '438', '25', '43', '184', '149', '429', '144', '213', '249', '41']
['300', '156', '289', '355', '361', '42', '315', '236', '169', '8', '499', '21', '112', '119', '65', '60', '452', '205', '7', '317']
['55', '292', '286', '255', '334', '81', '154', '496', '34', '482', '59', '322', '253', '194', '417', '161', '107', '101', '309', '222']
['342', '211', '351', '51', '299', '302', '384', '333', '405', '288', '193', '140', '6', '123', '132', '373', '426', '469', '497', '240']
['57', '314', '127', '260', '294', '480', '354', '391', '70', '178', '328', '492', '428', '420', '357', '248', '199', '76', '393', '308']
['266', '10', '423', '96', '164', '484', '50', '455', '64', '235', '17', '329', '339', '221', '277', '443', '375', '204', '296', '380']
['435', '73', '83', '461', '150', '250', '69', '360', '467', '23', '104', '212', '97', '345', '478', '102', '327', '410', '397', '228']
