['51', '262', '240', '65', '166', '254', '75', '61', '18', '323', '179', '108', '491', '135', '206', '148', '107', '462', '470', '31']
['411', '330', '1', '237', '213', '25', '232', '288', '198', '285', '57', '54', '438', '39', '224', '348', '156', '447', '381', '227']
['162', '326', '359', '5', '71', '236', '96', '74', '299', '67', '92', '461', '200', '417', '160', '276', '485', '463', '336', '30']
['419', '287', '446', '399', '104', '260', '473', '481', '7', '100', '472', '28', '158', '443', '350', '222', '127', '394', '106', '111']
['231', '337', '320', '239', '361', '82', '247', '122', '175', '165', '284', '113', '493', '170', '189', '449', '35', '55', '379', '68']
['391', '163', '155', '196', '6', '2', '422', '150', '393', '281', '81', '228', '52', '464', '11', '306', '255', '355', '476', '3']
['324', '49', '325', '238', '167', '145', '250', '416', '370', '93', '234', '366', '353', '128', '344', '322', '372', '332', '183', '367']
['329', '119', '152', '72', '42', '400', '475', '418', '176', '313', '364', '70', '342', '60', '215', '357', '244', '126', '334', '34']
['371', '343', '258', '272', '403', '437', '102', '469', '349', '26', '230', '233', '242', '339', '141', '347', '56', '480', '41', '289']
['208', '292', '118', '21', '308', '290', '435', '129', '259', '211', '433', '398', '219', '377', '263', '15', '101', '124', '48', '201']
['248', '423', '448', '414', '458', '151', '280', '40', '80', '425', '494', '455', '10', '390', '86', '317', '181', '226', '140', '210']
['397', '338', '154', '424', '453', '268', '266', '456', '457', '360', '484', '177', '410', '395', '401', '407', '76', '62', '147', '479']
['142', '85', '271', '9', '184', '327', '293', '307', '134', '369', '303', '421', '380', '273', '315', '146', '157', '331', '112', '223']
['270', '442', '373', '20', '496', '451', '498', '387', '408', '245', '345', '295', '32', '194', '499', '426', '314', '335', '274', '246']
['0', '195', '385', '91', '432', '143', '69', '427', '220', '267', '319', '279', '402', '99', '38', '454', '294', '94', '89', '207']
['225', '203', '328', '116', '428', '304', '252', '53', '301', '66', '365', '465', '77', '229', '131', '249', '95', '374', '110', '296']
['83', '300', '406', '436', '24', '318', '180', '261', '123', '383', '467', '466', '191', '241', '178', '217', '97', '275', '103', '87']
['486', '58', '22', '29', '378', '430', '404', '441', '340', '256', '192', '420', '114', '235', '351', '33', '452', '12', '59', '8']
['468', '63', '17', '199', '482', '14', '105', '173', '492', '298', '312', '392', '43', '445', '356', '478', '434', '489', '137', '431']
['333', '257', '19', '50', '216', '79', '450', '169', '109', '73', '186', '388', '120', '460', '396', '23', '78', '291', '13', '205']
['115', '125', '384', '490', '375', '278', '265', '429', '174', '253', '138', '487', '358', '495', '144', '444', '204', '84', '132', '209']
['368', '190', '362', '133', '159', '193', '409', '172', '477', '282', '483', '188', '251', '182', '439', '316', '130', '47', '4', '497']
['405', '382', '341', '98', '164', '149', '171', '352', '386', '44', '46', '471', '389', '354', '413', '136', '283', '363', '90', '269']
['214', '376', '27', '264', '310', '321', '459', '346', '88', '117', '153', '218', '139', '161', '297', '415', '243', '121', '474', '277']
['302', '168', '309', '16', '45', '286', '185', '64', '36', '212', '412', '197', '305', '37', '311', '440', '221', '202', '488', '187']
