['326', '390', '356', '72', '17']
['412', '488', '483', '288', '350']
['489', '41', '81', '69', '309']
['283', '355', '277', '119', '245']
['437', '407', '132', '147', '343']
['352', '164', '175', '236', '494']
['117', '475', '274', '267', '73']
['197', '198', '410', '224', '444']
['391', '54', '114', '28', '138']
['289', '452', '118', '199', '113']
['446', '404', '241', '79', '33']
['22', '374', '424', '396', '416']
['104', '400', '215', '439', '357']
['101', '154', '497', '100', '307']
['87', '337', '181', '49', '103']
['144', '462', '275', '208', '67']
['247', '99', '18', '259', '251']
['361', '108', '213', '91', '363']
['451', '3', '398', '461', '281']
['406', '120', '386', '183', '370']
['219', '57', '378', '76', '308']
['271', '456', '80', '448', '186']
['62', '23', '92', '173', '55']
['253', '432', '276', '169', '77']
['345', '150', '458', '310', '2']
['63', '336', '342', '172', '482']
['477', '129', '480', '191', '130']
['440', '359', '315', '36', '44']
['496', '441', '419', '265', '116']
['323', '159', '202', '250', '194']
['499', '239', '30', '334', '422']
['170', '405', '425', '38', '205']
['48', '366', '112', '34', '217']
['78', '125', '395', '498', '368']
['221', '109', '468', '325', '449']
['146', '246', '193', '232', '335']
['438', '286', '327', '371', '331']
['318', '328', '362', '145', '206']
['314', '280', '465', '463', '351']
['46', '95', '184', '70', '248']
['249', '227', '21', '4', '230']
['460', '96', '83', '195', '464']
['443', '53', '492', '377', '60']
['244', '218', '75', '372', '235']
['423', '292', '317', '149', '211']
['387', '467', '26', '389', '364']
['107', '179', '204', '294', '201']
['214', '486', '6', '373', '421']
['89', '344', '293', '481', '39']
['139', '35', '354', '134', '457']
['257', '312', '131', '238', '272']
['402', '291', '470', '148', '427']
['455', '403', '25', '156', '426']
['155', '401', '180', '459', '135']
['137', '431', '203', '182', '321']
['106', '171', '284', '123', '282']
['158', '479', '301', '436', '319']
['273', '140', '228', '240', '414']
['298', '233', '296', '167', '453']
['166', '189', '466', '188', '420']
['58', '126', '115', '252', '142']
['302', '64', '185', '484', '399']
['14', '121', '415', '393', '429']
['161', '209', '97', '434', '333']
['105', '487', '174', '305', '86']
['365', '32', '242', '279', '177']
['82', '490', '10', '330', '157']
['136', '418', '450', '12', '266']
['88', '5', '231', '397', '210']
['66', '225', '430', '300', '84']
['124', '207', '260', '493', '417']
['367', '226', '375', '392', '332']
['122', '163', '102', '43', '472']
['376', '68', '349', '473', '98']
['71', '316', '9', '471', '93']
['40', '347', '212', '243', '268']
['216', '478', '24', '285', '485']
['165', '16', '42', '51', '408']
['324', '409', '360', '192', '234']
['322', '381', '476', '20', '222']
['7', '339', '196', '258', '255']
['262', '1', '45', '74', '141']
['380', '394', '297', '491', '223']
['269', '388', '190', '454', '176']
['151', '413', '442', '299', '311']
['31', '385', '229', '338', '303']
['85', '187', '306', '341', '353']
['428', '200', '383', '278', '61']
['65', '433', '15', '346', '256']
['358', '369', '8', '27', '153']
['52', '29', '160', '127', '56']
['382', '384', '111', '290', '447']
['435', '162', '11', '133', '143']
['47', '90', '340', '469', '270']
['37', '261', '50', '495', '264']
['237', '13', '94', '313', '254']
['287', '168', '445', '59', '220']
['110', '474', '263', '128', '329']
['320', '0', '379', '19', '304']
['411', '178', '152', '295', '348']
