['420', '141', '440', '409', '21']
['44', '229', '242', '221', '138']
['211', '137', '81', '150', '65']
['286', '46', '498', '315', '209']
['295', '27', '303', '428', '465']
['452', '436', '126', '456', '364']
['404', '305', '473', '110', '168']
['233', '12', '219', '204', '80']
['344', '438', '63', '461', '332']
['280', '227', '155', '386', '101']
['375', '2', '487', '7', '322']
['86', '100', '213', '89', '317']
['161', '430', '79', '121', '77']
['405', '190', '50', '99', '381']
['134', '15', '469', '395', '281']
['49', '207', '306', '264', '257']
['85', '159', '288', '458', '146']
['51', '249', '88', '218', '328']
['40', '82', '66', '411', '410']
['373', '0', '195', '201', '3']
['398', '250', '260', '97', '455']
['321', '189', '484', '423', '182']
['495', '291', '117', '163', '174']
['287', '232', '376', '269', '196']
['318', '259', '445', '139', '104']
['314', '334', '87', '184', '285']
['459', '193', '453', '431', '304']
['198', '408', '235', '160', '311']
['91', '17', '355', '5', '172']
['231', '384', '217', '478', '454']
['265', '371', '180', '402', '57']
['245', '393', '226', '468', '24']
['215', '489', '54', '153', '426']
['67', '471', '10', '419', '98']
['118', '124', '140', '282', '480']
['365', '223', '312', '367', '234']
['278', '154', '271', '45', '147']
['268', '492', '187', '109', '43']
['237', '9', '352', '429', '309']
['166', '464', '148', '379', '421']
['486', '241', '274', '185', '401']
['385', '210', '181', '494', '202']
['382', '326', '368', '412', '342']
['194', '230', '266', '493', '38']
['135', '272', '293', '451', '356']
['20', '169', '145', '158', '55']
['488', '380', '4', '130', '361']
['151', '313', '310', '22', '276']
['236', '136', '422', '26', '95']
['23', '34', '206', '69', '450']
['391', '399', '116', '19', '289']
['246', '298', '475', '28', '485']
['127', '90', '476', '277', '374']
['186', '370', '302', '327', '192']
['177', '474', '58', '273', '238']
['208', '263', '252', '363', '228']
['222', '394', '132', '292', '11']
['164', '267', '149', '14', '60']
['37', '93', '346', '372', '39']
['270', '157', '68', '199', '325']
['406', '112', '1', '424', '144']
['443', '253', '463', '103', '343']
['170', '175', '254', '388', '400']
['47', '133', '92', '357', '433']
['73', '290', '337', '466', '262']
['348', '113', '390', '114', '178']
['479', '53', '279', '32', '96']
['387', '203', '42', '122', '349']
['31', '460', '490', '496', '330']
['338', '16', '462', '350', '59']
['432', '243', '442', '413', '72']
['448', '396', '179', '283', '491']
['308', '324', '36', '205', '173']
['214', '30', '329', '167', '294']
['414', '470', '416', '336', '335']
['392', '125', '499', '331', '434']
['417', '102', '251', '119', '247']
['437', '143', '128', '220', '35']
['123', '29', '8', '255', '296']
['244', '71', '115', '358', '483']
['165', '240', '340', '41', '120']
['351', '83', '425', '191', '176']
['162', '284', '224', '497', '457']
['48', '481', '339', '427', '316']
['107', '472', '366', '353', '75']
['25', '131', '323', '256', '369']
['383', '415', '108', '33', '389']
['13', '354', '449', '64', '84']
['225', '216', '299', '248', '275']
['197', '407', '435', '482', '18']
['377', '111', '397', '61', '129']
['94', '320', '477', '300', '447']
['307', '188', '6', '200', '360']
['347', '378', '152', '444', '56']
['105', '362', '446', '74', '418']
['76', '441', '261', '142', '319']
['345', '78', '70', '62', '301']
['341', '297', '439', '333', '106']
['239', '359', '156', '212', '467']
['171', '258', '403', '52', '183']
