['14', '382', '463', '305', '105']
['390', '397', '349', '173', '161']
['221', '264', '61', '455', '324']
['93', '71', '346', '416', '298']
['103', '116', '494', '92', '39']
['362', '277', '89', '293', '128']
['62', '110', '57', '492', '240']
['398', '174', '55', '270', '75']
['420', '351', '408', '323', '338']
['189', '123', '445', '108', '340']
['35', '333', '227', '312', '252']
['2', '10', '34', '392', '457']
['419', '286', '169', '135', '228']
['451', '418', '381', '107', '306']
['43', '26', '245', '413', '273']
['31', '247', '378', '443', '175']
['329', '237', '162', '316', '17']
['25', '406', '303', '470', '474']
['109', '198', '158', '268', '179']
['283', '285', '350', '460', '454']
['320', '242', '54', '299', '149']
['352', '348', '16', '301', '321']
['365', '478', '271', '269', '261']
['5', '489', '344', '129', '447']
['473', '438', '467', '439', '465']
['74', '282', '405', '325', '385']
['160', '77', '190', '369', '51']
['137', '366', '134', '263', '41']
['431', '177', '50', '296', '83']
['223', '111', '230', '79', '59']
['485', '95', '429', '434', '336']
['231', '81', '206', '38', '40']
['104', '461', '468', '359', '294']
['363', '257', '88', '354', '19']
['484', '464', '415', '246', '256']
['430', '394', '49', '140', '379']
['423', '275', '389', '33', '259']
['70', '205', '78', '100', '295']
['144', '337', '154', '260', '490']
['152', '224', '356', '437', '313']
['82', '448', '113', '165', '276']
['450', '22', '170', '404', '469']
['219', '326', '117', '64', '499']
['444', '279', '319', '72', '309']
['6', '400', '86', '304', '203']
['266', '483', '98', '411', '101']
['197', '487', '315', '167', '222']
['27', '24', '73', '163', '65']
['67', '186', '3', '367', '191']
['97', '310', '302', '339', '388']
['355', '281', '459', '52', '132']
['417', '15', '96', '368', '353']
['250', '182', '476', '28', '125']
['380', '159', '194', '9', '208']
['292', '195', '178', '120', '124']
['440', '493', '272', '1', '133']
['399', '341', '496', '396', '215']
['176', '314', '374', '229', '328']
['453', '330', '466', '217', '497']
['424', '153', '171', '119', '371']
['479', '130', '127', '147', '225']
['42', '211', '422', '255', '428']
['342', '139', '102', '407', '60']
['491', '218', '357', '475', '426']
['23', '13', '126', '274', '138']
['291', '53', '343', '122', '172']
['115', '164', '207', '248', '156']
['480', '308', '335', '290', '391']
['364', '94', '151', '334', '90']
['146', '262', '32', '47', '442']
['145', '456', '148', '498', '118']
['112', '29', '143', '449', '472']
['131', '18', '37', '99', '106']
['436', '235', '284', '375', '435']
['187', '21', '166', '482', '238']
['157', '46', '80', '278', '87']
['188', '12', '384', '433', '377']
['481', '201', '184', '7', '209']
['432', '297', '193', '458', '358']
['280', '48', '376', '58', '383']
['226', '202', '136', '332', '233']
['462', '410', '331', '265', '192']
['91', '185', '121', '200', '477']
['239', '347', '288', '446', '8']
['395', '236', '500', '495', '141']
['253', '386', '44', '370', '216']
['142', '258', '36', '220', '214']
['412', '69', '232', '213', '114']
['393', '414', '254', '84', '486']
['402', '11', '401', '409', '196']
['317', '210', '66', '289', '56']
['360', '471', '488', '249', '68']
['387', '155', '243', '452', '181']
['372', '403', '183', '212', '427']
['287', '307', '4', '85', '251']
['361', '199', '204', '311', '76']
['425', '318', '244', '20', '234']
['45', '168', '267', '327', '322']
['63', '241', '373', '345', '441']
['300', '180', '30', '150', '421']
