['447', '304', '271', '465', '49', '238', '70', '279', '403', '482', '93', '119', '82', '409', '340', '336', '13', '197', '117', '267', '126', '142']
['135', '136', '187', '9', '150', '257', '234', '206', '425', '475', '175', '244', '80', '307', '369', '140', '318', '263', '294', '310', '166', '198']
['346', '173', '200', '79', '242', '106', '0', '385', '466', '213', '387', '76', '69', '147', '96', '133', '196', '252', '201', '429', '467', '239']
['100', '268', '52', '423', '358', '463', '254', '405', '407', '266', '464', '293', '262', '436', '270', '42', '413', '361', '207', '36', '12', '477']
['122', '299', '62', '343', '440', '141', '127', '18', '243', '410', '139', '476', '368', '186', '379', '95', '25', '394', '21', '415', '448', '372']
['325', '388', '445', '354', '296', '344', '302', '205', '230', '181', '210', '395', '44', '330', '78', '125', '419', '113', '335', '286', '30', '398']
['115', '355', '155', '260', '284', '165', '396', '153', '180', '64', '145', '203', '190', '250', '68', '332', '154', '104', '129', '156', '461', '291']
['473', '170', '26', '381', '14', '402', '246', '34', '274', '411', '232', '376', '41', '60', '408', '23', '121', '390', '116', '248', '227', '184']
['163', '193', '404', '352', '169', '32', '43', '386', '112', '417', '449', '110', '7', '11', '109', '441', '455', '272', '55', '283', '384', '458']
['237', '94', '333', '443', '85', '84', '374', '143', '131', '214', '216', '309', '211', '481', '470', '61', '383', '247', '81', '437', '183', '168']
['160', '74', '301', '53', '202', '146', '199', '452', '56', '89', '264', '326', '328', '171', '164', '459', '161', '366', '185', '33', '339', '54']
['400', '226', '288', '353', '303', '3', '2', '37', '105', '118', '83', '438', '256', '314', '444', '108', '317', '40', '468', '148', '130', '285']
['120', '29', '454', '322', '295', '305', '273', '178', '71', '469', '204', '224', '316', '20', '389', '427', '479', '480', '370', '306', '392', '59']
['235', '229', '483', '195', '17', '315', '434', '349', '430', '378', '138', '47', '287', '350', '356', '289', '363', '22', '157', '188', '472', '474']
['182', '19', '255', '345', '192', '424', '406', '462', '478', '414', '397', '460', '341', '38', '357', '265', '365', '451', '261', '219', '152', '442']
['221', '362', '471', '124', '456', '92', '209', '251', '453', '431', '179', '275', '99', '134', '435', '10', '391', '67', '367', '73', '31', '233']
['278', '393', '300', '298', '39', '334', '418', '114', '331', '382', '323', '337', '215', '416', '347', '51', '111', '308', '432', '220', '450', '359']
['86', '433', '137', '457', '8', '249', '45', '107', '373', '75', '88', '191', '420', '380', '223', '360', '128', '149', '241', '327', '15', '324']
['87', '428', '1', '320', '222', '90', '63', '281', '177', '6', '258', '189', '240', '66', '48', '329', '338', '167', '276', '231', '422', '158']
['97', '297', '176', '371', '321', '102', '159', '218', '377', '412', '342', '259', '212', '172', '313', '144', '194', '77', '282', '236', '5', '16']
['27', '50', '58', '174', '311', '228', '399', '375', '98', '103', '446', '401', '364', '351', '290', '46', '280', '28', '439', '225', '253', '132']
['91', '162', '151', '72', '292', '4', '217', '208', '277', '312', '123', '426', '319', '57', '35', '348', '269', '65', '245', '101', '421', '24']
