['262', '0', '33', '148', '171', '230', '172', '142', '303', '292', '379', '67', '234', '349', '18', '242', '154', '112', '259', '103']
['183', '117', '202', '180', '66', '54', '43', '378', '300', '330', '391', '157', '320', '345', '265', '233', '132', '346', '258', '319']
['340', '161', '39', '159', '84', '239', '93', '343', '375', '277', '126', '357', '304', '190', '131', '19', '58', '316', '41', '206']
['138', '101', '269', '334', '384', '264', '102', '87', '70', '344', '228', '68', '309', '35', '282', '204', '385', '163', '27', '241']
['312', '376', '240', '270', '158', '55', '381', '149', '179', '213', '244', '227', '164', '56', '218', '229', '279', '38', '310', '249']
['231', '276', '155', '30', '123', '246', '134', '347', '80', '332', '301', '49', '380', '217', '396', '250', '69', '14', '322', '363']
['185', '108', '335', '285', '168', '59', '114', '116', '9', '200', '387', '192', '308', '359', '372', '336', '225', '377', '16', '115']
['212', '40', '214', '273', '350', '63', '97', '25', '71', '151', '251', '109', '328', '199', '365', '323', '20', '165', '305', '211']
['369', '329', '42', '144', '113', '11', '195', '374', '222', '83', '47', '162', '4', '82', '297', '121', '360', '44', '170', '7']
['362', '48', '86', '188', '318', '98', '12', '153', '324', '17', '173', '255', '118', '203', '207', '46', '189', '224', '221', '72']
['299', '395', '392', '145', '339', '252', '298', '275', '311', '356', '209', '175', '286', '181', '137', '125', '296', '293', '166', '196']
['220', '156', '278', '263', '342', '208', '327', '274', '333', '146', '388', '368', '32', '219', '243', '390', '235', '371', '127', '79']
['366', '133', '353', '260', '61', '236', '143', '74', '370', '167', '91', '238', '105', '182', '57', '96', '111', '135', '205', '99']
['23', '288', '216', '124', '139', '90', '317', '364', '352', '307', '50', '81', '338', '351', '266', '22', '28', '160', '73', '104']
['257', '128', '174', '306', '256', '389', '89', '314', '60', '383', '237', '184', '76', '194', '140', '152', '283', '10', '382', '215']
['8', '100', '64', '331', '24', '191', '287', '120', '26', '302', '394', '150', '94', '232', '45', '15', '78', '141', '267', '106']
['136', '119', '178', '110', '245', '197', '261', '325', '1', '201', '13', '253', '107', '295', '386', '147', '6', '337', '354', '169']
['2', '37', '62', '88', '77', '34', '187', '247', '268', '223', '399', '3', '348', '186', '358', '290', '21', '271', '294', '122']
['272', '129', '254', '341', '393', '85', '280', '326', '53', '355', '193', '52', '92', '75', '367', '291', '226', '289', '210', '361']
['321', '373', '398', '36', '176', '130', '198', '313', '95', '315', '284', '5', '281', '65', '248', '29', '397', '31', '177', '51']
