['495', '152', '291', '79', '123', '31', '17', '458', '245', '117', '221', '381', '57', '80', '342', '457', '155', '193', '6', '479']
['264', '258', '118', '122', '174', '352', '259', '107', '361', '271', '151', '198', '201', '334', '95', '215', '405', '255', '322', '487']
['66', '121', '25', '356', '425', '76', '481', '467', '137', '223', '411', '492', '448', '176', '456', '238', '282', '461', '338', '314']
['38', '111', '358', '9', '36', '364', '445', '37', '109', '367', '326', '85', '380', '324', '268', '70', '470', '483', '462', '477']
['377', '283', '119', '101', '153', '27', '157', '120', '169', '273', '16', '491', '318', '196', '166', '304', '333', '439', '398', '300']
['413', '383', '401', '354', '47', '82', '112', '190', '99', '3', '244', '243', '301', '373', '86', '473', '242', '241', '158', '237']
['478', '207', '336', '226', '360', '181', '235', '247', '465', '293', '378', '349', '278', '396', '429', '168', '75', '472', '251', '34']
['325', '94', '252', '246', '403', '11', '39', '132', '464', '187', '142', '46', '24', '449', '53', '205', '266', '72', '466', '30']
['357', '127', '100', '233', '409', '115', '211', '499', '154', '270', '277', '159', '195', '131', '20', '33', '432', '52', '307', '54']
['15', '388', '303', '305', '0', '173', '428', '355', '116', '51', '227', '148', '436', '93', '297', '125', '450', '256', '29', '286']
['143', '135', '417', '114', '421', '126', '408', '161', '328', '319', '346', '418', '170', '348', '430', '90', '192', '149', '45', '178']
['92', '265', '104', '248', '397', '402', '323', '287', '167', '73', '497', '302', '347', '366', '219', '49', '350', '454', '42', '438']
['482', '59', '370', '275', '128', '474', '312', '390', '414', '371', '267', '183', '13', '249', '32', '294', '442', '165', '217', '298']
['144', '440', '315', '78', '206', '50', '316', '204', '475', '228', '437', '327', '292', '65', '63', '290', '231', '185', '209', '103']
['214', '484', '496', '387', '18', '392', '406', '365', '133', '395', '2', '485', '295', '35', '490', '284', '81', '281', '368', '493']
['447', '459', '253', '489', '239', '58', '261', '64', '222', '140', '22', '419', '55', '257', '362', '433', '28', '108', '443', '62']
['379', '172', '160', '311', '463', '213', '351', '102', '460', '218', '98', '40', '332', '374', '240', '262', '199', '329', '134', '12']
['250', '41', '382', '345', '130', '344', '468', '97', '420', '424', '232', '77', '26', '488', '150', '4', '229', '175', '340', '269']
['19', '210', '494', '200', '44', '43', '486', '416', '426', '453', '67', '83', '68', '341', '363', '451', '260', '84', '375', '279']
['285', '129', '313', '337', '10', '156', '197', '339', '60', '320', '407', '272', '56', '21', '385', '96', '393', '191', '386', '299']
['310', '220', '164', '163', '415', '136', '106', '147', '480', '444', '202', '476', '184', '61', '394', '74', '186', '203', '146', '274']
['110', '1', '309', '276', '335', '435', '389', '263', '171', '177', '296', '308', '376', '225', '124', '343', '138', '427', '306', '236']
['455', '48', '441', '91', '194', '423', '224', '498', '105', '7', '422', '189', '230', '23', '330', '254', '288', '372', '471', '391']
['369', '400', '331', '88', '431', '71', '113', '212', '234', '139', '321', '188', '162', '180', '434', '8', '410', '145', '208', '5']
['89', '87', '469', '216', '353', '359', '182', '399', '289', '404', '141', '69', '14', '446', '280', '317', '179', '384', '452', '412']
