['198', '106', '112', '194', '105', '53', '169', '312', '137', '173', '25', '314', '374', '61', '292', '122', '255', '17', '135', '168']
['30', '175', '268', '261', '7', '320', '346', '138', '216', '318', '42', '146', '383', '52', '63', '141', '385', '123', '256', '317']
['160', '276', '352', '94', '391', '114', '190', '303', '203', '36', '62', '378', '178', '68', '349', '396', '1', '88', '327', '347']
['149', '217', '307', '10', '41', '47', '48', '116', '45', '110', '176', '228', '387', '154', '35', '319', '23', '250', '359', '91']
['195', '313', '29', '249', '187', '343', '150', '183', '238', '220', '267', '262', '84', '283', '125', '295', '120', '66', '336', '102']
['15', '12', '370', '13', '126', '72', '398', '204', '265', '152', '280', '225', '111', '197', '193', '21', '234', '93', '236', '184']
['136', '311', '275', '117', '77', '353', '309', '279', '272', '55', '394', '92', '151', '230', '20', '127', '282', '22', '372', '266']
['285', '129', '34', '247', '339', '79', '305', '354', '57', '144', '290', '118', '237', '82', '165', '221', '4', '245', '239', '264']
['113', '124', '163', '371', '58', '252', '172', '322', '390', '251', '199', '329', '273', '224', '334', '185', '83', '134', '325', '376']
['76', '128', '299', '95', '227', '69', '119', '315', '109', '360', '174', '140', '50', '260', '40', '145', '246', '294', '86', '44']
['107', '243', '166', '202', '212', '232', '301', '395', '231', '253', '162', '73', '259', '80', '345', '375', '213', '215', '284', '26']
['369', '218', '39', '257', '389', '342', '153', '365', '209', '340', '32', '167', '328', '103', '155', '226', '386', '337', '208', '100']
['28', '157', '143', '180', '196', '159', '242', '358', '244', '333', '288', '87', '170', '366', '139', '388', '104', '132', '210', '205']
['302', '291', '189', '297', '192', '316', '186', '219', '148', '335', '130', '350', '271', '281', '296', '156', '274', '380', '9', '101']
['368', '97', '89', '397', '60', '37', '338', '74', '19', '321', '399', '14', '304', '330', '357', '121', '3', '90', '171', '67']
['344', '177', '207', '211', '258', '362', '306', '233', '377', '8', '43', '364', '381', '356', '355', '308', '348', '179', '11', '158']
['98', '18', '240', '71', '270', '115', '133', '277', '182', '81', '59', '6', '241', '24', '27', '5', '263', '65', '96', '278']
['191', '200', '326', '147', '70', '363', '56', '78', '206', '392', '75', '286', '229', '164', '298', '254', '108', '382', '54', '289']
['393', '49', '16', '85', '324', '361', '400', '181', '188', '373', '33', '310', '31', '2', '351', '384', '201', '341', '331', '131']
['51', '46', '64', '379', '142', '38', '214', '235', '367', '99', '293', '269', '300', '223', '248', '323', '287', '222', '332', '161']
