['311', '227', '279', '237', '491', '125', '75', '312', '97', '236', '219', '20', '232', '379', '129', '234', '166', '248', '402', '22', '470', '397', '155', '164', '293']
['256', '395', '428', '404', '452', '370', '378', '58', '100', '465', '460', '52', '4', '200', '69', '268', '361', '251', '431', '30', '40', '406', '471', '139', '130']
['442', '289', '216', '453', '315', '374', '25', '148', '488', '119', '178', '127', '415', '329', '449', '187', '102', '257', '417', '73', '113', '413', '215', '426', '24']
['189', '321', '191', '93', '380', '82', '37', '483', '170', '328', '210', '79', '459', '357', '473', '353', '490', '231', '427', '220', '203', '437', '396', '367', '168']
['57', '492', '53', '90', '108', '264', '70', '298', '21', '250', '38', '305', '387', '56', '177', '422', '358', '131', '277', '107', '98', '493', '325', '140', '319']
['59', '309', '433', '68', '230', '287', '167', '33', '179', '340', '101', '244', '12', '416', '132', '479', '359', '249', '296', '497', '99', '324', '165', '487', '193']
['83', '145', '489', '263', '85', '338', '77', '72', '136', '8', '355', '339', '332', '272', '418', '444', '383', '11', '451', '462', '333', '15', '233', '294', '48']
['494', '110', '335', '180', '441', '308', '151', '375', '84', '474', '401', '28', '174', '344', '135', '337', '392', '343', '469', '128', '159', '78', '198', '461', '76']
['369', '7', '134', '346', '117', '439', '436', '62', '354', '206', '265', '286', '481', '411', '310', '106', '47', '463', '224', '229', '91', '94', '124', '162', '1']
['420', '46', '65', '49', '382', '384', '349', '14', '44', '88', '61', '288', '183', '150', '29', '267', '197', '39', '480', '245', '32', '190', '261', '430', '410']
['457', '163', '19', '242', '475', '454', '18', '258', '331', '320', '157', '316', '348', '222', '211', '202', '498', '116', '403', '372', '450', '204', '477', '209', '464']
['3', '247', '425', '423', '123', '6', '141', '336', '212', '67', '201', '255', '299', '144', '368', '394', '186', '476', '273', '438', '112', '13', '95', '192', '121']
['269', '156', '295', '118', '42', '60', '302', '111', '466', '499', '217', '81', '362', '27', '352', '182', '9', '409', '218', '478', '66', '347', '419', '137', '226']
['160', '485', '176', '276', '351', '434', '54', '385', '175', '371', '188', '421', '246', '55', '122', '386', '330', '486', '243', '274', '458', '195', '17', '307', '391']
['228', '16', '64', '252', '468', '241', '169', '327', '213', '281', '388', '260', '120', '133', '221', '105', '207', '208', '225', '432', '356', '445', '158', '291', '290']
['365', '152', '271', '301', '50', '26', '495', '138', '89', '80', '322', '278', '455', '43', '440', '104', '142', '10', '149', '429', '253', '161', '376', '171', '173']
['196', '377', '303', '345', '96', '71', '35', '172', '45', '235', '194', '448', '259', '408', '153', '2', '285', '363', '31', '282', '424', '154', '300', '306', '399']
['184', '115', '366', '41', '51', '318', '86', '223', '239', '34', '390', '284', '74', '313', '63', '297', '360', '238', '412', '92', '496', '146', '393', '447', '317']
['205', '181', '114', '314', '414', '435', '443', '214', '280', '389', '283', '446', '254', '326', '5', '23', '199', '240', '341', '270', '405', '467', '36', '275', '266']
['323', '373', '364', '109', '147', '472', '292', '400', '484', '398', '262', '381', '334', '143', '0', '87', '126', '342', '482', '185', '407', '103', '456', '304', '350']
