['989', '543', '803', '85', '186', '2', '30', '575', '217', '192', '190', '490', '820', '889', '868', '115', '207', '376', '251', '634', '153', '716', '5', '330', '6']
['697', '784', '804', '243', '884', '710', '663', '516', '167', '570', '656', '451', '210', '307', '156', '916', '897', '587', '426', '431', '720', '417', '631', '241', '298']
['174', '772', '69', '750', '50', '385', '647', '944', '122', '934', '125', '611', '888', '164', '779', '432', '193', '945', '483', '737', '360', '59', '800', '326', '942']
['980', '556', '41', '559', '994', '797', '12', '696', '240', '347', '289', '508', '308', '883', '968', '593', '416', '51', '75', '978', '523', '499', '943', '258', '60']
['507', '112', '582', '898', '361', '909', '822', '58', '487', '191', '470', '670', '458', '544', '790', '375', '862', '120', '751', '503', '506', '8', '134', '202', '73']
['266', '552', '489', '621', '979', '64', '717', '727', '44', '650', '596', '896', '967', '313', '845', '561', '648', '957', '382', '480', '45', '920', '99', '787', '318']
['921', '512', '694', '150', '858', '415', '62', '869', '77', '639', '228', '881', '119', '735', '555', '530', '928', '130', '223', '866', '335', '236', '864', '702', '304']
['355', '182', '641', '937', '381', '977', '213', '131', '242', '211', '136', '542', '459', '199', '923', '725', '805', '33', '761', '377', '54', '549', '320', '870', '352']
['946', '309', '350', '991', '57', '739', '808', '98', '782', '497', '919', '812', '444', '965', '411', '22', '654', '82', '726', '132', '910', '222', '564', '764', '620']
['310', '48', '383', '21', '422', '520', '215', '110', '819', '525', '598', '171', '824', '282', '440', '673', '816', '237', '159', '741', '67', '219', '468', '181', '626']
['373', '728', '594', '567', '378', '658', '370', '914', '960', '730', '554', '116', '410', '323', '477', '342', '105', '338', '517', '572', '34', '394', '731', '363', '24']
['102', '608', '718', '612', '1', '362', '852', '918', '676', '388', '400', '366', '121', '973', '966', '574', '734', '198', '748', '591', '683', '66', '995', '894', '297']
['214', '835', '793', '286', '825', '179', '614', '252', '108', '465', '197', '435', '509', '155', '847', '372', '877', '457', '177', '194', '398', '926', '588', '176', '419']
['738', '278', '698', '754', '522', '939', '83', '76', '302', '317', '364', '900', '284', '863', '853', '874', '478', '801', '644', '595', '972', '256', '723', '581', '792']
['43', '711', '39', '454', '771', '226', '675', '185', '893', '917', '609', '691', '950', '695', '539', '389', '948', '10', '859', '613', '521', '455', '305', '927', '712']
['729', '229', '90', '345', '569', '528', '475', '467', '437', '519', '100', '763', '959', '270', '17', '290', '527', '314', '275', '753', '173', '998', '842', '273', '669']
['851', '652', '406', '206', '623', '463', '340', '322', '776', '802', '209', '396', '878', '768', '953', '292', '524', '184', '681', '401', '642', '752', '759', '515', '160']
['548', '636', '13', '811', '19', '823', '740', '106', '677', '938', '798', '26', '208', '732', '268', '890', '640', '339', '809', '500', '912', '496', '250', '913', '899']
['615', '795', '269', '147', '583', '643', '288', '495', '775', '157', '810', '872', '814', '245', '762', '606', '283', '690', '580', '682', '31', '848', '744', '321', '163']
['287', '649', '231', '333', '719', '324', '438', '9', '187', '262', '830', '999', '887', '464', '589', '492', '395', '901', '56', '638', '205', '850', '993', '834', '886']
['553', '161', '679', '479', '537', '349', '265', '52', '584', '662', '773', '28', '380', '358', '646', '831', '807', '765', '135', '183', '617', '692', '91', '331', '449']
['234', '87', '218', '933', '770', '387', '295', '975', '616', '180', '513', '469', '18', '766', '668', '25', '412', '579', '443', '97', '117', '293', '78', '630', '369']
['32', '794', '303', '63', '473', '95', '498', '585', '861', '165', '908', '510', '141', '531', '279', '932', '35', '172', '984', '365', '511', '384', '931', '204', '760']
['935', '452', '906', '408', '53', '329', '138', '392', '699', '20', '260', '742', '144', '632', '7', '27', '529', '815', '657', '294', '346', '789', '826', '565', '783']
['855', '603', '280', '224', '442', '568', '232', '38', '602', '485', '705', '915', '143', '488', '954', '439', '600', '610', '42', '325', '905', '327', '505', '461', '166']
['655', '371', '813', '291', '306', '127', '70', '225', '456', '838', '15', '769', '633', '700', '547', '152', '55', '557', '3', '875', '708', '259', '971', '974', '749']
['667', '651', '436', '158', '955', '418', '767', '964', '707', '860', '534', '420', '941', '486', '597', '704', '403', '756', '713', '128', '460', '962', '659', '343', '319']
['124', '169', '249', '777', '104', '724', '635', '536', '175', '629', '101', '892', '404', '796', '618', '482', '781', '334', '686', '244', '788', '578', '996', '248', '843']
['703', '604', '880', '40', '715', '393', '447', '722', '351', '660', '96', '142', '560', '551', '92', '448', '538', '299', '936', '491', '261', '902', '671', '985', '93']
['684', '956', '653', '986', '865', '778', '133', '992', '514', '344', '49', '86', '154', '689', '940', '65', '201', '736', '276', '981', '423', '109', '607', '315', '785']
['746', '462', '84', '837', '271', '846', '474', '263', '786', '481', '504', '168', '733', '545', '368', '619', '494', '586', '16', '257', '990', '688', '300', '904', '963']
