['358', '204', '62', '295', '81', '83', '335', '381', '231', '173', '212', '179', '65', '26', '354', '380', '129', '186', '74', '158']
['280', '54', '12', '124', '352', '35', '233', '80', '167', '330', '315', '121', '0', '244', '363', '324', '263', '391', '368', '114']
['192', '278', '262', '328', '242', '333', '235', '106', '44', '108', '339', '222', '102', '376', '89', '378', '131', '207', '239', '2']
['211', '182', '104', '170', '123', '61', '365', '23', '73', '122', '52', '345', '5', '361', '140', '28', '119', '48', '178', '314']
['76', '311', '260', '39', '346', '109', '191', '310', '100', '69', '284', '3', '152', '320', '265', '150', '379', '221', '197', '219']
['251', '355', '372', '139', '164', '240', '146', '103', '264', '270', '399', '34', '64', '301', '206', '60', '394', '29', '149', '163']
['297', '53', '229', '1', '166', '142', '302', '185', '75', '145', '201', '84', '214', '43', '316', '127', '356', '137', '77', '47']
['181', '78', '82', '305', '254', '291', '117', '198', '194', '296', '273', '377', '151', '213', '8', '33', '318', '99', '228', '276']
['9', '250', '395', '174', '97', '98', '357', '37', '216', '159', '230', '289', '128', '25', '101', '360', '4', '370', '299', '373']
['21', '288', '374', '205', '269', '258', '14', '293', '383', '22', '246', '234', '161', '38', '350', '18', '385', '367', '11', '334']
['90', '162', '143', '175', '218', '245', '116', '344', '126', '241', '72', '168', '327', '309', '138', '20', '390', '275', '259', '384']
['120', '190', '94', '132', '147', '348', '144', '155', '42', '300', '59', '193', '172', '79', '93', '298', '45', '290', '58', '247']
['336', '227', '225', '389', '343', '154', '160', '255', '10', '56', '253', '17', '286', '92', '277', '136', '386', '49', '46', '268']
['19', '312', '256', '24', '398', '272', '187', '105', '292', '184', '238', '57', '85', '243', '71', '157', '40', '153', '338', '209']
['393', '279', '6', '323', '236', '313', '266', '371', '51', '331', '171', '306', '294', '148', '223', '32', '130', '67', '156', '169']
['107', '364', '248', '63', '226', '353', '165', '337', '112', '16', '113', '267', '237', '326', '36', '217', '203', '325', '27', '287']
['359', '317', '66', '133', '283', '199', '135', '96', '362', '274', '95', '340', '329', '285', '282', '13', '55', '388', '369', '87']
['220', '281', '304', '41', '70', '195', '30', '183', '176', '111', '342', '392', '249', '366', '347', '210', '202', '332', '15', '224']
['177', '341', '321', '322', '200', '189', '180', '115', '375', '50', '7', '397', '261', '110', '208', '141', '91', '125', '257', '252']
['232', '196', '307', '134', '308', '31', '382', '303', '86', '215', '271', '396', '319', '188', '349', '387', '68', '88', '118', '351']
