['358', '211', '182', '87', '154', '205', '363', '100', '333', '338', '95', '93', '88', '328', '275', '71', '187', '141', '252', '69']
['8', '204', '175', '347', '388', '45', '196', '296', '368', '345', '127', '264', '75', '266', '62', '395', '178', '12', '103', '281']
['224', '112', '234', '3', '54', '254', '320', '312', '295', '229', '273', '381', '150', '173', '212', '201', '334', '44', '249', '292']
['240', '29', '206', '126', '46', '81', '38', '319', '168', '360', '24', '272', '37', '199', '66', '299', '111', '342', '122', '256']
['231', '357', '172', '307', '176', '83', '244', '194', '302', '271', '290', '382', '59', '139', '341', '298', '107', '392', '216', '362']
['350', '243', '89', '310', '96', '90', '335', '43', '263', '322', '383', '331', '53', '184', '61', '130', '210', '17', '58', '189']
['102', '188', '11', '60', '1', '268', '285', '315', '162', '114', '321', '384', '339', '294', '238', '110', '91', '291', '7', '164']
['179', '50', '25', '336', '56', '65', '41', '146', '374', '82', '286', '278', '109', '390', '5', '300', '2', '258', '145', '79']
['274', '394', '191', '209', '309', '106', '327', '397', '364', '223', '367', '396', '26', '269', '337', '135', '236', '51', '13', '332']
['161', '20', '352', '304', '288', '80', '197', '277', '47', '366', '169', '86', '28', '190', '133', '325', '181', '227', '76', '370']
['326', '35', '262', '314', '375', '393', '99', '40', '282', '305', '132', '158', '215', '259', '391', '78', '250', '279', '151', '22']
['289', '354', '267', '230', '120', '32', '121', '203', '247', '389', '265', '251', '387', '152', '92', '369', '200', '77', '365', '330']
['208', '280', '14', '27', '287', '233', '171', '220', '57', '379', '192', '399', '371', '329', '225', '97', '157', '213', '297', '64']
['124', '129', '149', '217', '353', '323', '376', '34', '214', '219', '202', '348', '67', '183', '255', '235', '156', '0', '137', '356']
['180', '72', '373', '346', '73', '242', '52', '177', '131', '55', '30', '167', '222', '160', '170', '6', '386', '147', '10', '19']
['241', '138', '165', '221', '108', '185', '15', '207', '118', '324', '104', '70', '195', '136', '308', '359', '16', '228', '245', '117']
['398', '246', '340', '253', '377', '316', '115', '226', '119', '125', '349', '239', '317', '311', '270', '155', '378', '283', '48', '101']
['36', '63', '143', '380', '163', '74', '344', '186', '68', '313', '9', '159', '116', '301', '355', '84', '306', '123', '23', '4']
['140', '144', '18', '153', '218', '98', '284', '21', '257', '318', '128', '385', '343', '42', '105', '260', '293', '198', '134', '372']
['94', '193', '174', '49', '166', '85', '113', '232', '31', '351', '39', '142', '248', '33', '237', '276', '148', '303', '261', '361']
