['204', '203', '205', '8', '9']
['7', '62', '63', '61', '45']
['44', '124', '123', '125', '81']
['83', '82', '84', '135', '134']
['231', '232', '233', '173', '174']
['171', '172', '212', '211', '213']
['179', '180', '176', '178', '58']
['57', '59', '26', '27', '29']
['166', '167', '169', '129', '128']
['126', '130', '230', '229', '74']
['75', '73', '158', '157', '159']
['186', '187', '189', '227', '226']
['228', '206', '207', '209', '12']
['13', '11', '148', '147', '149']
['67', '66', '68', '223', '224']
['221', '222', '35', '34', '234']
['80', '79', '168', '243', '241']
['244', '242', '32', '33', '31']
['121', '122', '160', '190', '188']
['245', '30', '156', '177', '114']
['113', '115', '17', '16', '18']
['192', '193', '191', '96', '99']
['97', '235', '106', '109', '107']
['43', '118', '119', '117', '108']
['19', '20', '102', '103', '101']
['225', '65', '64', '131', '133']
['132', '208', '239', '238', '236']
['240', '2', '3', '1', '104']
['105', '170', '4', '24', '23']
['25', '199', '198', '196', '200']
['22', '21', '71', '72', '52']
['53', '51', '5', '87', '88']
['86', '41', '42', '28', '141']
['143', '142', '120', '116', '184']
['183', '185', '76', '77', '89']
['56', '39', '38', '40', '36']
['95', '94', '85', '110', '100']
['111', '112', '69', '70', '152']
['153', '151', '140', '139', '214']
['215', '154', '197', '150', '37']
['219', '216', '220', '218', '98']
['182', '181', '195', '194', '136']
['138', '164', '165', '163', '237']
['146', '90', '60', '161', '162']
['54', '6', '145', '144', '201']
['202', '55', '127', '137', '78']
['47', '48', '46', '155', '10']
['217', '93', '91', '92', '15']
['14', '175', '210', '49', '50']
['247', '250', '248', '249', '246']
