['422', '23', '499', '235', '18']
['358', '284', '185', '108', '33']
['424', '150', '8', '198', '406']
['73', '448', '230', '481', '254']
['295', '493', '66', '85', '61']
['109', '81', '220', '335', '246']
['83', '32', '407', '127', '320']
['310', '167', '190', '477', '381']
['276', '106', '119', '129', '388']
['187', '396', '231', '473', '181']
['212', '162', '216', '15', '308']
['118', '179', '77', '298', '205']
['116', '409', '330', '455', '366']
['251', '26', '40', '24', '30']
['479', '166', '470', '169', '336']
['22', '257', '266', '152', '207']
['151', '164', '361', '62', '433']
['316', '186', '305', '427', '208']
['478', '17', '222', '431', '280']
['124', '488', '482', '79', '441']
['210', '27', '426', '360', '392']
['294', '238', '337', '134', '356']
['105', '155', '138', '53', '228']
['352', '103', '69', '234', '35']
['417', '54', '376', '490', '202']
['460', '233', '387', '326', '175']
['107', '480', '250', '9', '341']
['370', '338', '201', '315', '63']
['282', '218', '263', '189', '136']
['211', '362', '170', '244', '92']
['462', '174', '196', '146', '425']
['153', '191', '445', '76', '471']
['416', '265', '342', '293', '242']
['383', '466', '489', '29', '408']
['209', '12', '451', '354', '140']
['262', '322', '446', '430', '278']
['458', '444', '197', '258', '496']
['311', '44', '319', '283', '126']
['375', '98', '43', '418', '213']
['259', '157', '313', '339', '300']
['203', '34', '260', '452', '19']
['378', '135', '435', '28', '214']
['465', '120', '168', '398', '346']
['271', '252', '4', '82', '102']
['123', '59', '96', '225', '48']
['199', '287', '372', '224', '38']
['163', '245', '133', '386', '158']
['239', '385', '206', '74', '420']
['139', '472', '255', '165', '57']
['453', '296', '436', '476', '200']
['364', '312', '91', '281', '2']
['428', '384', '403', '333', '306']
['261', '144', '171', '130', '177']
['58', '14', '149', '440', '365']
['148', '194', '348', '485', '10']
['464', '121', '290', '345', '494']
['147', '414', '5', '439', '84']
['88', '437', '204', '331', '192']
['41', '467', '160', '236', '419']
['42', '180', '469', '443', '90']
['397', '327', '291', '110', '178']
['113', '344', '301', '7', '399']
['184', '182', '37', '64', '86']
['429', '323', '39', '299', '25']
['6', '95', '80', '67', '474']
['188', '243', '104', '317', '16']
['232', '3', '154', '137', '393']
['343', '219', '483', '325', '143']
['226', '247', '491', '380', '89']
['183', '223', '55', '355', '318']
['350', '377', '487', '131', '264']
['334', '94', '411', '484', '289']
['410', '468', '13', '142', '461']
['374', '268', '156', '454', '475']
['359', '1', '132', '46', '215']
['11', '309', '415', '404', '269']
['391', '52', '195', '401', '412']
['329', '492', '413', '447', '60']
['390', '297', '367', '272', '141']
['249', '229', '371', '117', '36']
['101', '449', '68', '111', '357']
['241', '286', '125', '486', '394']
['72', '421', '314', '275', '353']
['49', '176', '450', '349', '277']
['51', '302', '307', '395', '351']
['115', '304', '292', '237', '114']
['99', '498', '340', '256', '70']
['47', '373', '97', '379', '400']
['159', '253', '459', '172', '78']
['71', '31', '279', '248', '405']
['389', '434', '382', '65', '145']
['21', '112', '369', '122', '285']
['495', '423', '456', '93', '50']
['240', '303', '368', '173', '75']
['270', '321', '497', '347', '363']
['20', '324', '193', '87', '402']
['332', '457', '438', '442', '217']
['227', '45', '463', '161', '0']
['128', '328', '273', '432', '100']
['56', '267', '221', '274', '288']
