['358', '235', '328', '291']
['262', '124', '249', '84']
['368', '93', '375', '350']
['341', '395', '309', '288']
['33', '81', '378', '307']
['82', '62', '120', '50']
['322', '56', '197', '166']
['72', '41', '111', '399']
['213', '172', '157', '258']
['13', '393', '69', '362']
['73', '336', '259', '224']
['145', '85', '83', '182']
['397', '215', '317', '353']
['21', '183', '150', '2']
['335', '159', '6', '163']
['381', '28', '139', '250']
['209', '133', '290', '226']
['12', '234', '231', '44']
['305', '320', '158', '186']
['386', '311', '240', '367']
['5', '128', '314', '228']
['212', '75', '125', '118']
['132', '51', '294', '200']
['165', '296', '167', '252']
['179', '136', '67', '315']
['279', '284', '20', '180']
['321', '324', '345', '280']
['263', '299', '342', '274']
['64', '366', '237', '26']
['40', '229', '98', '251']
['370', '221', '343', '230']
['148', '277', '86', '344']
['39', '27', '227', '253']
['219', '332', '260', '16']
['355', '334', '266', '18']
['45', '30', '376', '348']
['203', '211', '222', '104']
['333', '246', '330', '94']
['244', '360', '391', '151']
['281', '181', '60', '210']
['347', '3', '95', '113']
['99', '31', '354', '326']
['135', '155', '61', '190']
['390', '380', '295', '114']
['338', '261', '117', '310']
['352', '160', '122', '107']
['100', '35', '164', '388']
['146', '373', '374', '97']
['233', '245', '267', '273']
['204', '32', '106', '302']
['384', '316', '340', '292']
['23', '216', '369', '318']
['300', '59', '264', '242']
['189', '66', '202', '8']
['359', '89', '109', '191']
['201', '306', '175', '184']
['185', '177', '131', '304']
['214', '149', '80', '346']
['108', '123', '398', '130']
['247', '298', '220', '313']
['325', '286', '42', '187']
['105', '102', '138', '71']
['143', '154', '178', '205']
['194', '4', '385', '371']
['0', '22', '76', '217']
['188', '49', '58', '257']
['206', '339', '19', '110']
['207', '303', '382', '119']
['129', '38', '152', '65']
['301', '238', '327', '140']
['268', '9', '297', '70']
['77', '239', '34', '90']
['218', '173', '349', '137']
['363', '88', '63', '361']
['372', '170', '312', '54']
['11', '365', '162', '323']
['7', '392', '68', '141']
['396', '74', '255', '192']
['115', '248', '112', '176']
['383', '283', '254', '308']
['265', '379', '198', '96']
['37', '174', '196', '156']
['293', '55', '91', '47']
['319', '36', '289', '52']
['275', '25', '48', '199']
['142', '92', '243', '278']
['232', '14', '17', '337']
['169', '329', '387', '147']
['356', '195', '57', '270']
['103', '223', '208', '331']
['126', '225', '78', '364']
['193', '46', '351', '1']
['236', '134', '287', '24']
['269', '29', '272', '171']
['15', '144', '394', '87']
['53', '161', '271', '256']
['43', '357', '377', '282']
['10', '389', '168', '121']
['79', '101', '285', '153']
['116', '127', '276', '241']
