['358', '149', '163', '230', '53', '332', '331', '302', '7', '65', '86', '314', '201', '316', '127', '347', '39', '227', '365', '346']
['210', '67', '35', '233', '97', '160', '385', '244', '144', '340', '194', '296', '180', '377', '190', '295', '329', '33', '99', '333']
['235', '9', '391', '118', '13', '398', '159', '353', '71', '207', '206', '211', '63', '104', '312', '360', '123', '61', '370', '299']
['136', '248', '373', '21', '272', '226', '327', '14', '145', '66', '166', '57', '16', '220', '243', '189', '177', '399', '91', '396']
['90', '261', '263', '273', '342', '265', '326', '209', '309', '266', '275', '237', '217', '139', '279', '87', '132', '287', '137', '236']
['359', '103', '202', '155', '64', '258', '301', '51', '60', '8', '252', '247', '298', '356', '83', '138', '68', '219', '321', '134']
['62', '148', '43', '308', '362', '82', '305', '348', '293', '324', '191', '130', '94', '322', '277', '276', '44', '107', '349', '29']
['73', '147', '40', '268', '387', '284', '101', '389', '345', '4', '222', '257', '165', '28', '50', '383', '184', '76', '100', '113']
['375', '162', '143', '152', '215', '196', '325', '290', '20', '264', '382', '259', '176', '188', '282', '249', '341', '395', '27', '323']
['313', '193', '172', '208', '303', '45', '283', '34', '185', '84', '161', '223', '352', '167', '330', '112', '0', '198', '169', '15']
['98', '49', '141', '289', '128', '2', '170', '41', '105', '397', '311', '260', '56', '69', '182', '54', '320', '214', '126', '70']
['119', '36', '355', '372', '317', '111', '336', '88', '300', '133', '124', '335', '179', '171', '26', '75', '135', '242', '253', '238']
['117', '218', '368', '17', '192', '228', '319', '142', '174', '199', '197', '343', '31', '255', '187', '131', '109', '232', '175', '195']
['338', '129', '384', '120', '374', '270', '42', '59', '81', '394', '297', '381', '280', '186', '294', '357', '80', '304', '154', '151']
['213', '328', '285', '386', '339', '216', '224', '46', '11', '115', '122', '369', '361', '48', '178', '392', '380', '38', '350', '95']
['267', '271', '307', '203', '146', '110', '22', '366', '204', '367', '240', '12', '274', '78', '351', '205', '310', '250', '19', '239']
['344', '269', '225', '281', '10', '234', '140', '168', '156', '89', '1', '231', '77', '47', '181', '32', '93', '364', '102', '52']
['24', '334', '337', '125', '306', '390', '158', '371', '212', '121', '246', '79', '23', '378', '245', '354', '292', '153', '72', '150']
['379', '183', '173', '55', '96', '363', '278', '262', '108', '388', '3', '241', '221', '30', '393', '18', '291', '157', '106', '25']
['200', '114', '37', '92', '74', '256', '254', '318', '376', '116', '164', '229', '6', '315', '58', '5', '251', '286', '288', '85']
