['204', '203', '205', '8', '9']
['62', '63', '61', '81', '76']
['84', '83', '135', '136', '138']
['132', '134', '231', '226', '234']
['212', '211', '213', '179', '180']
['178', '58', '59', '187', '26']
['27', '32', '28', '31', '30']
['166', '165', '153', '164', '129']
['128', '130', '230', '229', '93']
['158', '159', '186', '185', '188']
['227', '206', '209', '201', '12']
['13', '11', '35', '38', '34']
['36', '233', '80', '79', '167']
['46', '104', '160', '161', '157']
['163', '29', '151', '177', '184']
['176', '126', '114', '115', '116']
['103', '235', '232', '236', '238']
['106', '101', '109', '100', '108']
['200', '102', '53', '225', '65']
['66', '64', '131', '207', '210']
['239', '241', '228', '240', '10']
['60', '105', '3', '16', '1']
['14', '4', '15', '199', '49']
['52', '51', '5', '87', '88']
['86', '41', '39', '40', '141']
['139', '140', '190', '189', '191']
['182', '183', '181', '77', '78']
['82', '85', '57', '110', '107']
['113', '111', '112', '152', '214']
['215', '216', '37', '154', '70']
['98', '156', '237', '89', '91']
['90', '33', '2', '208', '162']
['133', '54', '21', '120', '7']
['6', '127', '202', '55', '43']
['99', '137', '56', '155', '249']
['45', '124', '173', '247', '74']
['148', '67', '223', '243', '121']
['0', '244', '17', '192', '96']
['242', '44', '118', '19', '222']
['170', '123', '24', '23', '73']
['122', '119', '125', '95', '69']
['196', '150', '221', '219', '195']
['197', '146', '149', '68', '142']
['171', '75', '145', '198', '47']
['97', '117', '144', '218', '169']
['174', '248', '92', '71', '25']
['224', '143', '50', '22', '246']
['220', '18', '194', '175', '245']
['42', '72', '168', '20', '48']
['217', '94', '147', '193', '172']
