['0', '1', '4', '221']
['7', '10', '11', '226']
['13', '15', '19', '231']
['25', '26', '28', '234']
['29', '30', '35', '238']
['36', '37', '39', '246']
['40', '41', '44', '6']
['45', '46', '49', '17']
['50', '56', '58', '22']
['59', '62', '63', '27']
['64', '66', '70', '51']
['71', '72', '74', '65']
['75', '78', '79', '68']
['83', '88', '89', '80']
['92', '94', '97', '85']
['100', '101', '102', '91']
['104', '105', '109', '95']
['111', '112', '115', '99']
['116', '121', '122', '113']
['123', '124', '126', '118']
['127', '129', '130', '125']
['134', '139', '141', '152']
['142', '143', '145', '155']
['146', '148', '149', '161']
['150', '151', '156', '162']
['158', '159', '160', '176']
['164', '165', '166', '200']
['167', '168', '169', '205']
['170', '171', '172', '208']
['174', '178', '180', '228']
['182', '184', '185', '242']
['188', '189', '193', '243']
['194', '195', '196', '14']
['197', '198', '201', '55']
['204', '206', '210', '69']
['212', '213', '214', '106']
['215', '216', '217', '108']
['218', '219', '220', '133']
['222', '223', '224', '137']
['227', '229', '230', '154']
['232', '233', '235', '181']
['236', '237', '239', '203']
['240', '244', '247', '211']
['248', '249', '2', '241']
['3', '5', '8', '245']
['9', '12', '16', '18']
['20', '24', '31', '21']
['33', '38', '42', '34']
['47', '48', '53', '52']
['54', '57', '60', '67']
['61', '73', '76', '98']
['77', '81', '82', '107']
['84', '86', '87', '136']
['90', '93', '96', '153']
['103', '110', '114', '199']
['117', '119', '120', '131']
['128', '132', '135', '225']
['138', '144', '147', '32']
['157', '163', '173', '43']
['175', '177', '179', '140']
['183', '186', '187', '23']
['190', '191', '192']
['202', '207', '209']
