['0', '1', '399', '138', '204', '92', '2', '16', '118', '3', '219', '366', '4', '280', '5', '30', '6', '38', '7', '128']
['235', '8', '9', '37', '353', '10', '33', '192', '372', '11', '383', '106', '289', '12', '317', '215', '13', '176', '330', '14']
['120', '250', '15', '226', '132', '17', '142', '18', '309', '94', '19', '395', '20', '21', '241', '22', '122', '89', '23', '46']
['24', '240', '25', '127', '26', '44', '213', '254', '27', '205', '28', '153', '175', '29', '104', '162', '276', '397', '31', '81']
['199', '32', '151', '262', '34', '121', '319', '35', '36', '268', '114', '322', '139', '39', '40', '41', '339', '42', '101', '265']
['43', '310', '126', '218', '234', '45', '341', '47', '49', '48', '143', '50', '136', '51', '52', '298', '53', '306', '96', '107']
['232', '54', '303', '55', '220', '56', '316', '57', '382', '58', '59', '305', '97', '348', '60', '394', '61', '131', '62', '351']
['63', '64', '208', '65', '299', '66', '379', '311', '67', '350', '68', '69', '70', '156', '364', '71', '76', '115', '202', '72']
['174', '73', '74', '343', '116', '269', '75', '256', '152', '286', '77', '378', '78', '296', '79', '371', '80', '157', '168', '134']
['82', '391', '83', '233', '84', '146', '85', '86', '275', '117', '87', '352', '230', '327', '88', '197', '166', '90', '147', '91']
['184', '93', '195', '188', '313', '95', '376', '98', '99', '293', '100', '326', '171', '337', '102', '135', '385', '103', '320', '178']
['112', '105', '108', '109', '273', '110', '361', '368', '111', '386', '113', '321', '295', '300', '349', '119', '125', '263', '227', '346']
['221', '123', '331', '124', '384', '185', '308', '355', '149', '191', '129', '130', '222', '133', '354', '137', '224', '334', '140', '141']
['358', '278', '190', '144', '145', '196', '148', '245', '150', '155', '323', '393', '154', '284', '272', '285', '158', '324', '159', '160']
['367', '161', '216', '163', '164', '217', '165', '207', '297', '390', '167', '203', '169', '170', '172', '173', '389', '177', '179', '180']
['336', '211', '181', '182', '183', '288', '396', '186', '187', '335', '282', '189', '193', '194', '281', '198', '252', '200', '201', '228']
['388', '290', '302', '206', '314', '209', '238', '210', '212', '214', '307', '223', '225', '253', '279', '229', '344', '231', '362', '236']
['237', '315', '239', '329', '312', '242', '243', '244', '246', '247', '338', '248', '267', '249', '251', '381', '255', '257', '258', '304']
['259', '260', '261', '264', '266', '270', '271', '274', '277', '283', '347', '374', '287', '291', '340', '292', '294', '342', '373', '392']
['301', '333', '318', '369', '360', '325', '328', '359', '332', '345', '370', '356', '357', '375', '363', '377', '365', '380', '387', '398']
